race_id,axis_name,axis_pop,axis_style,pace_label,n_field,axis_score,gap_1_3,axis_pace_fit,pace_style_match,p_win,p_place,actual_rank,hit_win,hit_place
202509010105,ルクスジニア,1,先行,スロー,18,0.7456,0.2735,0.7099,1,0.1277,0.3007,1,1,1
202502010304,メイショウキンタイ,2,差し,スロー,16,0.6704,0.0828,0.5694,0,0.0925,0.3007,2,0,1
202509040407,ジャンヌローサ,10,差し,スロー,14,0.5956,0.0318,0.4385,0,0.0905,0.3007,8,0,0
202510010109,レイピア,1,逃げ,ミドルスロー,12,0.7121,0.1506,0.5728,1,0.1078,0.3006,2,0,1
202504040107,ミエノフェアリー,1,差し,スロー,18,0.6788,0.0590,0.4728,0,0.0951,0.3006,2,0,1
202507050403,イノキ,4,差し,ミドル,16,0.6575,0.0986,0.4974,0,0.1036,0.3005,5,0,0
202510020412,テーオーミリカン,4,差し,ミドルハイ,16,0.7147,0.0792,0.6442,0,0.1190,0.3004,11,0,0
202507050307,パフュームセント,1,先行,スロー,18,0.7084,0.0948,0.6829,1,0.1400,0.3004,1,1,1
202606020607,ロジケープ,1,先行,スロー,15,0.6999,0.0462,0.7089,1,0.1034,0.3002,3,0,1
202510011008,ブルーゴールド,13,追い込み,スロー,14,0.6506,0.0837,0.3710,0,0.1084,0.3001,8,0,0
202503020812,シュレン,5,差し,ミドル,15,0.6762,0.0484,0.5923,0,0.1102,0.3000,5,0,0
202508010410,インユアパレス,1,差し,ミドルハイ,16,0.6705,0.0150,0.6385,0,0.1249,0.2999,2,0,1
202503010205,マイネルフルムーン,1,先行,スロー,16,0.7293,0.1818,0.6030,1,0.1065,0.2999,1,1,1
202507030210,サンウイキョウ,11,差し,ミドル,12,0.6792,0.1205,0.4895,0,0.0955,0.2999,12,0,0
202507050502,ルージュナリッシュ,4,差し,ミドル,16,0.6341,0.0071,0.5645,0,0.0985,0.2999,6,0,0
202509050612,ウイントワイライト,2,追い込み,スロー,14,0.6655,0.0664,0.2362,0,0.1135,0.2999,12,0,0
202505040411,ボンドガール,1,追い込み,スロー,16,0.6870,0.0401,0.2829,0,0.1163,0.2997,9,0,0
202509040707,ダノンジャガー,9,差し,スロー,13,0.6235,0.0678,0.3882,0,0.0976,0.2996,4,0,0
202508030104,メイショウヤシマ,1,先行,ミドル,14,0.7004,0.0944,0.6434,1,0.1250,0.2996,1,1,1
202610010612,ヤマニンレセディ,3,差し,スロー,18,0.6572,0.0552,0.5904,0,0.1025,0.2996,1,1,1
202504010708,ゴヴェルナーレリコ,3,差し,ミドル,15,0.6653,0.1081,0.5006,0,0.1072,0.2995,1,1,1
202502011006,スティーヴバローズ,2,逃げ,スロー,15,0.6791,0.0940,0.7685,1,0.1400,0.2995,14,0,0
202505040612,ハリケーンリッジ,8,追い込み,ミドル,14,0.7092,0.1213,0.5263,0,0.1472,0.2994,9,0,0
202609020106,ミスターバッドガイ,6,差し,スロー,11,0.6521,0.1087,0.4187,0,0.0814,0.2994,11,0,0
202606020109,コスモエルヴァル,8,差し,スロー,8,0.5684,0.1191,0.5103,0,0.0762,0.2993,4,0,0
202508030511,ロジリオン,7,差し,スロー,18,0.6689,0.0207,0.5163,0,0.1138,0.2991,10,0,0
202609010305,ビッグヒーロー,2,差し,スロー,14,0.6984,0.3428,0.4419,0,0.0912,0.2990,3,0,1
202609010902,ラヴネヴァーダイズ,1,差し,ミドル,13,0.7295,0.3855,0.6357,0,0.1157,0.2989,1,1,1
202505010504,ヤルダバオト,16,追い込み,スロー,16,0.6443,0.0665,0.2673,0,0.1134,0.2988,13,0,0
202507020609,ザングウィル,9,差し,ミドルハイ,13,0.6678,0.0693,0.6692,0,0.1159,0.2988,6,0,0
202607010412,シルフズミスチーフ,1,差し,ミドル,16,0.6677,0.0712,0.5852,0,0.1071,0.2988,1,1,1
202509020612,サウンドブライアン,15,追い込み,ミドルスロー,16,0.6725,0.0962,0.4653,0,0.1368,0.2985,16,0,0
202504020407,ニシノコニャック,12,差し,スロー,18,0.6249,0.0301,0.5519,0,0.1125,0.2985,10,0,0
202501010402,ヤマニンパルフェ,2,先行,ミドル,14,0.6840,0.0468,0.5616,1,0.1045,0.2984,12,0,0
202503030307,ルブリアン,9,逃げ,ミドルスロー,16,0.6650,0.0415,0.6501,1,0.1393,0.2984,5,0,0
202501010112,マイノワール,3,追い込み,ミドル,14,0.6569,0.0649,0.3874,0,0.1290,0.2981,3,0,1
202508030408,キタノブライド,12,追い込み,ミドル,14,0.6333,0.0238,0.3798,0,0.1143,0.2981,10,0,0
202503030504,ツリートップムーン,14,差し,スロー,14,0.5374,0.0083,0.4510,0,0.0996,0.2980,11,0,0
202503030208,オーサムユニバンス,5,追い込み,スロー,16,0.6225,0.0478,0.3502,0,0.1139,0.2978,2,0,1
202606010107,テンミラージュ,12,差し,ミドル,16,0.6668,0.0763,0.5109,0,0.1176,0.2978,8,0,0
202607010405,ビッグヒーロー,1,差し,スロー,16,0.7419,0.3104,0.5188,0,0.1032,0.2978,2,0,1
202503030608,カウンターセブン,2,差し,ミドルスロー,16,0.6496,0.0259,0.6029,0,0.1159,0.2977,14,0,0
202605010707,アラスカフレイバー,4,先行,ミドル,16,0.7071,0.0892,0.7765,1,0.1157,0.2976,9,0,0
202505041112,トリリオンボーイ,5,追い込み,ミドルスロー,13,0.6986,0.0686,0.4057,0,0.1141,0.2974,13,0,0
202608020311,ドラゴンブースト,9,差し,ミドル,16,0.6413,0.0639,0.5282,0,0.1209,0.2974,16,0,0
202610010710,パールフロント,2,差し,ハイ,14,0.6140,0.0493,0.6041,1,0.1177,0.2973,5,0,0
202510010912,ヴィスマール,2,差し,スロー,16,0.6054,0.0419,0.5624,0,0.0979,0.2972,2,0,1
202507050312,フォティック,5,追い込み,スロー,18,0.7373,0.1267,0.3624,0,0.1198,0.2972,5,0,0
202608010403,アニマレイ,3,差し,ミドル,16,0.7475,0.3794,0.5999,0,0.1087,0.2972,6,0,0
202606020404,ライラスター,4,差し,スロー,14,0.5647,0.0773,0.4737,0,0.1104,0.2971,5,0,0
202510010809,ワンダーキサラ,2,逃げ,スロー,18,0.7148,0.0837,0.6246,1,0.1571,0.2970,2,0,1
202509050304,ロードリベラシオン,7,差し,スロー,12,0.5511,0.0561,0.3723,0,0.0841,0.2970,1,1,1
202506030309,ガンバルマン,2,追い込み,スロー,7,0.5871,0.0313,0.2037,0,0.0716,0.2969,2,0,1
202505020807,ロードリベラシオン,4,差し,スロー,10,0.6338,0.1378,0.4332,0,0.0880,0.2968,7,0,0
202506040410,ホウオウムサシ,2,追い込み,スロー,14,0.6374,0.0412,0.3572,0,0.1203,0.2968,8,0,0
202509040203,ダノンプリマ,2,先行,ミドルハイ,16,0.7909,0.1480,0.6464,1,0.1220,0.2968,1,1,1
202509030406,レッドボブ,2,先行,ミドルスロー,15,0.7139,0.1161,0.7279,1,0.1422,0.2967,4,0,0
202504020809,フェスタリア,4,追い込み,ミドル,15,0.7064,0.0612,0.5312,0,0.1346,0.2967,4,0,0
202505040412,マーズオデッセイ,5,追い込み,ミドル,16,0.6843,0.0238,0.5352,0,0.1258,0.2967,1,1,1
202505030604,オルグジェシダ,1,先行,スロー,16,0.6841,0.1337,0.7218,1,0.0976,0.2966,3,0,1
202606020204,ランニングビーチ,8,先行,ハイ,8,0.6759,0.1311,0.5721,0,0.0828,0.2966,5,0,0
202509030107,ハッピーアズラリー,6,追い込み,スロー,10,0.6038,0.0580,0.1786,0,0.0869,0.2961,9,0,0
202506040910,タッチアンドムーブ,4,追い込み,スロー,13,0.6474,0.0944,0.3493,0,0.1066,0.2961,7,0,0
202505010112,フォルラニーニ,1,差し,スロー,16,0.6506,0.1124,0.5615,0,0.1090,0.2960,2,0,1
202504030401,ガリレイ,7,差し,スロー,14,0.5886,0.0988,0.3961,0,0.0916,0.2960,10,0,0
202503030612,ヴィヴィッシモ,11,追い込み,スロー,16,0.6407,0.0660,0.3716,0,0.1167,0.2960,9,0,0
202609010706,ベランジェール,6,差し,ミドルスロー,13,0.6581,0.1288,0.4716,0,0.1135,0.2960,11,0,0
202503020607,ティーラミレス,8,先行,スロー,15,0.6554,0.1010,0.6523,1,0.1134,0.2959,7,0,0
202504020208,パルプフィクション,9,逃げ,ハイ,15,0.7725,0.1141,0.5936,0,0.1365,0.2956,12,0,0
202509010412,アイファーバトル,6,追い込み,ミドルハイ,14,0.7026,0.0704,0.5408,0,0.1435,0.2953,7,0,0
202502011212,オカメノコイ,4,追い込み,ミドル,12,0.6807,0.1117,0.4014,0,0.1144,0.2953,1,1,1
202503020407,ウアーシュプルング,1,先行,スロー,16,0.7436,0.1955,0.6235,1,0.1178,0.2953,1,1,1
202501020103,ガジュノリホワイト,8,差し,スロー,14,0.6625,0.1053,0.5276,0,0.0978,0.2953,13,0,0
202507020308,メイショウクーガー,1,差し,ミドルスロー,15,0.6593,0.0725,0.5965,0,0.1108,0.2952,3,0,1
202504010101,ブルースピリット,9,差し,スロー,14,0.5583,0.0311,0.3557,0,0.0976,0.2952,13,0,0
202505050211,ディマイザキッド,3,追い込み,スロー,18,0.6778,0.1039,0.2687,0,0.1153,0.2952,3,0,1
202503020808,ポタリング,5,差し,スロー,14,0.6454,0.0386,0.5020,0,0.0818,0.2950,1,1,1
202510010807,テイクザクラウン,6,追い込み,スロー,16,0.6277,0.0106,0.3272,0,0.1068,0.2949,3,0,1
202502010307,ハートメテオ,1,差し,スロー,16,0.7365,0.1895,0.6162,0,0.1043,0.2949,1,1,1
202507010808,フリートオブフット,11,差し,ミドルハイ,16,0.6660,0.0355,0.5021,0,0.1123,0.2947,16,0,0
202504030102,ネポティズムベビー,2,差し,ミドル,14,0.7008,0.0928,0.5903,0,0.0945,0.2947,9,0,0
202510010203,アイリッシュパール,8,差し,ハイ,14,0.6273,0.0752,0.4773,1,0.1034,0.2946,9,0,0
202508020610,アンダースコア,10,追い込み,スロー,11,0.6684,0.0835,0.3291,0,0.0892,0.2946,10,0,0
202501020312,ミクストベリーズ,2,差し,スロー,15,0.6535,0.0768,0.5313,0,0.1045,0.2946,4,0,0
202510010312,ルクスパラディ,14,差し,ミドルスロー,18,0.6608,0.0784,0.4933,0,0.0979,0.2943,9,0,0
202501010404,スピードイエロー,3,追い込み,ミドル,14,0.6873,0.0915,0.4386,0,0.1142,0.2943,9,0,0
202503030302,アスゴッド,7,差し,ミドルハイ,16,0.6642,0.0591,0.6013,0,0.1174,0.2942,11,0,0
202508020710,ハギノアルデバラン,11,追い込み,ミドルスロー,16,0.7018,0.0900,0.4275,0,0.1382,0.2941,11,0,0
202506030302,エリカマユーリ,1,差し,ミドル,16,0.7666,0.3135,0.6407,0,0.1158,0.2940,1,1,1
202506030707,フォルラニーニ,1,差し,スロー,15,0.6721,0.0601,0.5212,0,0.0998,0.2940,3,0,1
202502010504,アルハイルフォート,4,先行,スロー,13,0.6260,0.0445,0.6759,1,0.0967,0.2939,12,0,0
202510020204,ワイドデコラシオン,3,先行,ミドル,16,0.7029,0.1029,0.6334,1,0.0920,0.2939,5,0,0
202506030310,モーニングヘイズ,12,差し,ミドルハイ,16,0.6332,0.0231,0.4545,0,0.0985,0.2938,11,0,0
202506050309,ロンドンオービタル,4,差し,スロー,13,0.6954,0.1215,0.6000,0,0.0928,0.2937,2,0,1
202506010509,マウンテンエース,6,追い込み,ミドルスロー,16,0.6836,0.0675,0.3646,0,0.1079,0.2936,5,0,0
202507010307,アークドール,4,追い込み,ミドル,16,0.6841,0.0732,0.5307,0,0.1308,0.2936,6,0,0
202508020204,レッドファーロ,2,追い込み,スロー,12,0.5632,0.0689,0.3223,0,0.1151,0.2935,12,0,0
202606020812,カーラデマドレ,2,先行,ミドルハイ,16,0.6432,0.0231,0.6016,1,0.1062,0.2935,14,0,0
202609010111,ナムラアトム,8,差し,スロー,18,0.6832,0.0428,0.5493,0,0.1184,0.2934,17,0,0
202605010412,ピコレッド,1,先行,ミドル,16,0.6817,0.0513,0.6607,1,0.1086,0.2932,3,0,1
202606030112,マーゴットレーヴ,15,追い込み,ミドル,16,0.7048,0.1307,0.4214,0,0.1357,0.2932,15,0,0
202510011011,マテンロウオリオン,10,追い込み,スロー,13,0.5961,0.0535,0.2885,0,0.1191,0.2929,6,0,0
202505050112,ダノンエンブレム,1,先行,スロー,14,0.6450,0.0608,0.6768,1,0.1146,0.2929,1,1,1
202506020201,アイアンソリッド,1,先行,ミドルハイ,16,0.7588,0.3083,0.6890,1,0.1142,0.2927,2,0,1
202504010408,ナムラブーニン,5,追い込み,スロー,13,0.5998,0.0234,0.3472,0,0.1105,0.2927,4,0,0
202501020404,マンゲタック,4,逃げ,スロー,16,0.6753,0.1106,0.7337,1,0.1289,0.2925,16,0,0
202608010404,リケアキャンディ,11,追い込み,スロー,13,0.5804,0.0894,0.3085,0,0.1117,0.2925,13,0,0
202505020804,コスモグラニット,2,逃げ,スロー,14,0.6847,0.1239,0.7939,1,0.1170,0.2924,4,0,0
202506040810,フーコサンライズ,9,逃げ,スロー,16,0.6467,0.0419,0.6416,1,0.1507,0.2924,9,0,0
202506010105,ガジュノリホワイト,5,先行,スロー,16,0.7043,0.2975,0.7030,1,0.1064,0.2922,4,0,0
202606010204,ロードアフェット,12,追い込み,ミドルスロー,13,0.6160,0.0478,0.2514,0,0.1079,0.2921,7,0,0
202501010202,ピースフルゴールド,6,先行,スロー,14,0.6912,0.1428,0.5755,1,0.0921,0.2919,14,0,0
202610011204,アゼム,9,追い込み,スロー,11,0.5130,0.0182,0.2729,0,0.1002,0.2919,4,0,0
202508020606,サリーチェ,2,差し,ミドルスロー,11,0.6888,0.1955,0.5775,0,0.1078,0.2917,6,0,0
202501020407,ダノンミッション,2,先行,スロー,13,0.6381,0.0582,0.6379,1,0.1040,0.2917,2,0,1
202504010701,ブルメンダール,6,先行,スロー,14,0.5864,0.0139,0.6307,1,0.1383,0.2915,14,0,0
202608010208,ミッキーマカパ,8,先行,ミドルハイ,15,0.6494,0.0244,0.6857,1,0.0986,0.2915,4,0,0
202508010711,アサカラキング,2,逃げ,スロー,18,0.6766,0.0154,0.7877,1,0.1549,0.2913,2,0,1
202605010503,イナズマダイモン,1,差し,ミドルスロー,16,0.7627,0.3083,0.6977,0,0.1121,0.2913,2,0,1
202504010704,フォルガイル,11,追い込み,スロー,12,0.5618,0.0801,0.2451,0,0.1052,0.2911,7,0,0
202509040901,ヴォンヌヴォー,10,差し,スロー,12,0.5673,0.0070,0.5492,0,0.1149,0.2911,6,0,0
202507030204,リリードリーマー,1,差し,ミドル,16,0.6701,0.0456,0.5803,0,0.0994,0.2909,3,0,1
202501020406,サトミノエンジェル,1,差し,ミドル,14,0.7151,0.1324,0.6410,0,0.0990,0.2909,1,1,1
202507030612,ケイアイクビラ,10,先行,スロー,15,0.6300,0.0172,0.6387,1,0.0931,0.2908,8,0,0
202506040906,ヤコブセン,2,先行,ミドル,16,0.6395,0.0666,0.5493,1,0.1141,0.2908,11,0,0
202507050606,パスコード,3,先行,スロー,16,0.6078,0.0097,0.6784,1,0.1200,0.2908,11,0,0
202606010610,ミライヘノカギ,1,差し,ミドル,16,0.5942,0.0014,0.6001,0,0.1081,0.2908,6,0,0
202504020611,ディヴァインスター,2,先行,スロー,14,0.6497,0.0389,0.6922,1,0.1233,0.2907,3,0,1
202506040112,フェスタリア,2,差し,ミドル,16,0.6435,0.0410,0.5946,0,0.0995,0.2907,4,0,0
202608010407,ロールザダイス,4,差し,スロー,14,0.6327,0.0726,0.4101,0,0.0966,0.2907,1,1,1
202607010311,ダイヤモンドノット,1,先行,スロー,17,0.6951,0.0077,0.7157,1,0.0931,0.2907,1,1,1
