race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202101020101,,,1800,芝,良,1,3,3,レッドラディエンス,牡2,54,ルメール,1:49.4,,5-5-3-3,35.5,1.9,1,476(-8),2021,01,02,01,01,3:190,3:110|2:200,2 - 3:470,3 → 2:790,2 - 3:150|3 - 6:110|2 - 6:120,2 - 3 - 6:170,3 → 2 → 6:970
202101020101,,,1800,芝,良,2,2,2,マイネルシーマー,牡2,54,丹内祐次,1:49.7,2,6-6-2-2,35.9,5.7,3,466(+8),2021,01,02,01,01,3:190,3:110|2:200,2 - 3:470,3 → 2:790,2 - 3:150|3 - 6:110|2 - 6:120,2 - 3 - 6:170,3 → 2 → 6:970
202101020101,,,1800,芝,良,3,6,6,セイウンプラチナ,牡2,54,横山和生,1:50.0,1.3/4,3-3-1-1,36.3,2.5,2,476(-4),2021,01,02,01,01,3:190,3:110|2:200,2 - 3:470,3 → 2:790,2 - 3:150|3 - 6:110|2 - 6:120,2 - 3 - 6:170,3 → 2 → 6:970
202101020101,,,1800,芝,良,4,5,5,フォルトゥナ,牡2,54,菱田裕二,1:51.3,8,2-2-3-4,37.3,15.3,4,464(-2),2021,01,02,01,01,3:190,3:110|2:200,2 - 3:470,3 → 2:790,2 - 3:150|3 - 6:110|2 - 6:120,2 - 3 - 6:170,3 → 2 → 6:970
202101020101,,,1800,芝,良,5,1,1,ヴィオレントアズル,牡2,54,黛弘人,1:51.4,クビ,4-3-6-5,37.2,85.8,6,400(-4),2021,01,02,01,01,3:190,3:110|2:200,2 - 3:470,3 → 2:790,2 - 3:150|3 - 6:110|2 - 6:120,2 - 3 - 6:170,3 → 2 → 6:970
202101020101,,,1800,芝,良,6,4,4,ブルーレーン,牝2,53,泉谷楓真,1:55.0,大,1-1-3-6,41.0,31.6,5,482(0),2021,01,02,01,01,3:190,3:110|2:200,2 - 3:470,3 → 2:790,2 - 3:150|3 - 6:110|2 - 6:120,2 - 3 - 6:170,3 → 2 → 6:970
202101020102,,,1700,ダート,良,1,6,9,サツキティアラ,牝3,54,坂井瑠星,1:47.5,,3-4-4-2,39.2,19.3,8,466(-2),2021,01,02,01,02,9:1930,9:410|7:130|11:130,7 - 9:3490,9 → 7:8090,7 - 9:1010|9 - 11:1330|7 - 11:220,7 - 9 - 11:3110,9 → 7 → 11:32470
202101020102,,,1700,ダート,良,2,5,7,ウィズザワールド,牝3,54,団野大成,1:47.6,3/4,2-2-2-1,39.6,2.3,1,472(+2),2021,01,02,01,02,9:1930,9:410|7:130|11:130,7 - 9:3490,9 → 7:8090,7 - 9:1010|9 - 11:1330|7 - 11:220,7 - 9 - 11:3110,9 → 7 → 11:32470
202101020102,,,1700,ダート,良,3,7,11,レスペディーザ,牝3,54,池添謙一,1:47.8,3/4,3-2-3-3,39.6,3.2,2,434(+12),2021,01,02,01,02,9:1930,9:410|7:130|11:130,7 - 9:3490,9 → 7:8090,7 - 9:1010|9 - 11:1330|7 - 11:220,7 - 9 - 11:3110,9 → 7 → 11:32470
202101020102,,,1700,ダート,良,4,1,1,ルージュブラン,牝3,52,秋山稔樹,1:47.9,1/2,6-6-5-6,39.5,55.9,9,458(+4),2021,01,02,01,02,9:1930,9:410|7:130|11:130,7 - 9:3490,9 → 7:8090,7 - 9:1010|9 - 11:1330|7 - 11:220,7 - 9 - 11:3110,9 → 7 → 11:32470
202101020102,,,1700,ダート,良,5,6,10,アベレージマーク,牝3,54,水口優也,1:48.0,1/2,8-8-6-5,39.4,18.6,7,450(0),2021,01,02,01,02,9:1930,9:410|7:130|11:130,7 - 9:3490,9 → 7:8090,7 - 9:1010|9 - 11:1330|7 - 11:220,7 - 9 - 11:3110,9 → 7 → 11:32470
202101020102,,,1700,ダート,良,6,4,5,レッドウッドヒル,牝3,54,吉田隼人,1:48.0,アタマ,9-9-6-7,39.3,5.0,3,480(-16),2021,01,02,01,02,9:1930,9:410|7:130|11:130,7 - 9:3490,9 → 7:8090,7 - 9:1010|9 - 11:1330|7 - 11:220,7 - 9 - 11:3110,9 → 7 → 11:32470
202101020102,,,1700,ダート,良,7,5,8,エリカバイラ,牝3,54,横山和生,1:48.3,1.3/4,10-10-9-7,39.3,179.4,10,434(+2),2021,01,02,01,02,9:1930,9:410|7:130|11:130,7 - 9:3490,9 → 7:8090,7 - 9:1010|9 - 11:1330|7 - 11:220,7 - 9 - 11:3110,9 → 7 → 11:32470
202101020102,,,1700,ダート,良,8,8,13,クリスタルスワン,牝3,54,古川吉洋,1:48.5,1.1/4,13-13-11-9,39.2,16.2,4,500(+10),2021,01,02,01,02,9:1930,9:410|7:130|11:130,7 - 9:3490,9 → 7:8090,7 - 9:1010|9 - 11:1330|7 - 11:220,7 - 9 - 11:3110,9 → 7 → 11:32470
202101020102,,,1700,ダート,良,9,4,6,スリンシンガポール,牝3,51,西谷凜,1:48.5,クビ,5-5-6-9,39.8,18.0,5,464(+6),2021,01,02,01,02,9:1930,9:410|7:130|11:130,7 - 9:3490,9 → 7:8090,7 - 9:1010|9 - 11:1330|7 - 11:220,7 - 9 - 11:3110,9 → 7 → 11:32470
202101020102,,,1700,ダート,良,10,8,14,ヒューリット,牝3,53,泉谷楓真,1:48.6,クビ,11-11-12-11,39.1,210.4,11,500(+24),2021,01,02,01,02,9:1930,9:410|7:130|11:130,7 - 9:3490,9 → 7:8090,7 - 9:1010|9 - 11:1330|7 - 11:220,7 - 9 - 11:3110,9 → 7 → 11:32470
