race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,調教師,調教タイム,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202142040101,3歳六,,1400,ダート,,1,2,2,マッシュブライト,牝3,54.0,寺島憂人,1:33.0,,,40.1,34.9,10,,,,2021,42,04,01,1,2:3490,2:840|9:400|11:540,2-9:8910,2 → 9:23870,2-9:2230|2-11:5540|9-11:1480,2-9-11:23110,2 → 9 → 11:235090
202142040101,3歳六,,1400,ダート,,2,7,9,カンノンゴールド,牝3,54.0,酒井忍,1:33.6,3,,41.4,6.6,4,,,,2021,42,04,01,1,2:3490,2:840|9:400|11:540,2-9:8910,2 → 9:23870,2-9:2230|2-11:5540|9-11:1480,2-9-11:23110,2 → 9 → 11:235090
202142040101,3歳六,,1400,ダート,,3,8,11,ギンサー,牡3,56.0,福原杏,1:33.9,1.1/2,,41.3,13.4,6,,,,2021,42,04,01,1,2:3490,2:840|9:400|11:540,2-9:8910,2 → 9:23870,2-9:2230|2-11:5540|9-11:1480,2-9-11:23110,2 → 9 → 11:235090
202142040101,3歳六,,1400,ダート,,4,3,3,フェラリーチェコ,牝3,54.0,吉井章,1:34.0,1/2,,41.6,4.2,2,,,,2021,42,04,01,1,2:3490,2:840|9:400|11:540,2-9:8910,2 → 9:23870,2-9:2230|2-11:5540|9-11:1480,2-9-11:23110,2 → 9 → 11:235090
202142040101,3歳六,,1400,ダート,,5,6,8,ホットミルク,牝3,54.0,橋本直哉,1:34.1,3/4,,40.3,47.0,11,,,,2021,42,04,01,1,2:3490,2:840|9:400|11:540,2-9:8910,2 → 9:23870,2-9:2230|2-11:5540|9-11:1480,2-9-11:23110,2 → 9 → 11:235090
202142040101,3歳六,,1400,ダート,,6,7,10,クロズ,牝3,54.0,森泰斗,1:34.4,1.1/2,,42.2,13.9,7,,,,2021,42,04,01,1,2:3490,2:840|9:400|11:540,2-9:8910,2 → 9:23870,2-9:2230|2-11:5540|9-11:1480,2-9-11:23110,2 → 9 → 11:235090
202142040101,3歳六,,1400,ダート,,7,5,5,ナヴァーレ,牡3,56.0,秋元耕成,1:34.4,ハナ,,40.1,171.3,12,,,,2021,42,04,01,1,2:3490,2:840|9:400|11:540,2-9:8910,2 → 9:23870,2-9:2230|2-11:5540|9-11:1480,2-9-11:23110,2 → 9 → 11:235090
202142040101,3歳六,,1400,ダート,,8,8,12,アヤチプリンセス,牝3,54.0,藤江渉,1:34.8,2,,41.1,7.1,5,,,,2021,42,04,01,1,2:3490,2:840|9:400|11:540,2-9:8910,2 → 9:23870,2-9:2230|2-11:5540|9-11:1480,2-9-11:23110,2 → 9 → 11:235090
202142040101,3歳六,,1400,ダート,,9,5,6,グレイスムーン,牝3,51.0,▲七夕裕次,1:34.9,クビ,,40.6,14.2,8,,,,2021,42,04,01,1,2:3490,2:840|9:400|11:540,2-9:8910,2 → 9:23870,2-9:2230|2-11:5540|9-11:1480,2-9-11:23110,2 → 9 → 11:235090
202142040101,3歳六,,1400,ダート,,10,4,4,オッティモ,牝3,54.0,和田譲治,1:34.9,アタマ,,42.7,3.8,1,,,,2021,42,04,01,1,2:3490,2:840|9:400|11:540,2-9:8910,2 → 9:23870,2-9:2230|2-11:5540|9-11:1480,2-9-11:23110,2 → 9 → 11:235090
202142040101,3歳六,,1400,ダート,,11,1,1,サンパームデール,牝3,54.0,川島正太,1:35.1,1,,42.0,6.6,3,,,,2021,42,04,01,1,2:3490,2:840|9:400|11:540,2-9:8910,2 → 9:23870,2-9:2230|2-11:5540|9-11:1480,2-9-11:23110,2 → 9 → 11:235090
202142040101,3歳六,,1400,ダート,,12,6,7,クールヴァイヤン,セ3,56.0,高橋哲也,1:35.4,1.1/2,,41.3,22.7,9,,,,2021,42,04,01,1,2:3490,2:840|9:400|11:540,2-9:8910,2 → 9:23870,2-9:2230|2-11:5540|9-11:1480,2-9-11:23110,2 → 9 → 11:235090
202142040102,C34歳ア,,1400,ダート,,1,6,6,キッズシタイヒャー,牡4,56.0,岡田大,1:32.1,,,38.6,3.0,2,,,,2021,42,04,01,2,6:300,6:100|9:100|2:110,6-9:290,6 → 9:910,6-9:140|2-6:180|2-9:180,2-6-9:300,6 → 9 → 2:2210
202142040102,C34歳ア,,1400,ダート,,2,8,9,ワカミヤアトゥ,牡4,56.0,笹川翼,1:32.1,ハナ,,38.7,1.8,1,,,,2021,42,04,01,2,6:300,6:100|9:100|2:110,6-9:290,6 → 9:910,6-9:140|2-6:180|2-9:180,2-6-9:300,6 → 9 → 2:2210
202142040102,C34歳ア,,1400,ダート,,3,2,2,テンカウント,牡4,56.0,矢野貴之,1:33.4,6,,39.7,4.9,3,,,,2021,42,04,01,2,6:300,6:100|9:100|2:110,6-9:290,6 → 9:910,6-9:140|2-6:180|2-9:180,2-6-9:300,6 → 9 → 2:2210
202142040102,C34歳ア,,1400,ダート,,4,1,1,ニシノシロフネ,牡4,56.0,加藤和博,1:33.6,1,,39.4,38.9,6,,,,2021,42,04,01,2,6:300,6:100|9:100|2:110,6-9:290,6 → 9:910,6-9:140|2-6:180|2-9:180,2-6-9:300,6 → 9 → 2:2210
202142040102,C34歳ア,,1400,ダート,,5,4,4,ガレットデロワ,牝4,54.0,張田昂,1:33.7,3/4,,40.0,16.0,4,,,,2021,42,04,01,2,6:300,6:100|9:100|2:110,6-9:290,6 → 9:910,6-9:140|2-6:180|2-9:180,2-6-9:300,6 → 9 → 2:2210
202142040102,C34歳ア,,1400,ダート,,6,7,7,カシノキハル,牝4,54.0,福原杏,1:33.8,3/4,,40.3,80.0,8,,,,2021,42,04,01,2,6:300,6:100|9:100|2:110,6-9:290,6 → 9:910,6-9:140|2-6:180|2-9:180,2-6-9:300,6 → 9 → 2:2210
202142040102,C34歳ア,,1400,ダート,,7,7,8,スカイボルト,牡4,53.0,▲七夕裕次,1:34.2,2,,40.2,77.5,7,,,,2021,42,04,01,2,6:300,6:100|9:100|2:110,6-9:290,6 → 9:910,6-9:140|2-6:180|2-9:180,2-6-9:300,6 → 9 → 2:2210
202142040102,C34歳ア,,1400,ダート,,8,8,10,サンリード,牝4,54.0,橋本直哉,1:34.4,3/4,,39.5,20.3,5,,,,2021,42,04,01,2,6:300,6:100|9:100|2:110,6-9:290,6 → 9:910,6-9:140|2-6:180|2-9:180,2-6-9:300,6 → 9 → 2:2210
202142040102,C34歳ア,,1400,ダート,,9,5,5,シンライキャンディ,牝4,51.0,▲古岡勇樹,1:34.5,3/4,,40.7,265.9,10,,,,2021,42,04,01,2,6:300,6:100|9:100|2:110,6-9:290,6 → 9:910,6-9:140|2-6:180|2-9:180,2-6-9:300,6 → 9 → 2:2210
202142040102,C34歳ア,,1400,ダート,,10,3,3,タカイチギムレット,牡4,56.0,高橋哲也,1:34.6,クビ,,40.2,84.3,9,,,,2021,42,04,01,2,6:300,6:100|9:100|2:110,6-9:290,6 → 9:910,6-9:140|2-6:180|2-9:180,2-6-9:300,6 → 9 → 2:2210
202142040103,C3三四,,1400,ダート,,1,6,8,ジョリプリュネル,牝6,54.0,笹川翼,1:30.9,,,38.9,3.5,2,,,,2021,42,04,01,3,8:350,8:120|12:230|11:110,8-12:2020,8 → 12:2770,8-12:520|8-11:150|11-12:320,8-11-12:620,8 → 12 → 11:6000
202142040103,C3三四,,1400,ダート,,2,8,12,ロッカーモーション,牝5,54.0,秋元耕成,1:31.2,1.1/2,,39.2,15.1,5,,,,2021,42,04,01,3,8:350,8:120|12:230|11:110,8-12:2020,8 → 12:2770,8-12:520|8-11:150|11-12:320,8-11-12:620,8 → 12 → 11:6000
202142040103,C3三四,,1400,ダート,,3,8,11,ニットウナナ,牝6,54.0,山崎誠士,1:31.9,3,,39.9,1.6,1,,,,2021,42,04,01,3,8:350,8:120|12:230|11:110,8-12:2020,8 → 12:2770,8-12:520|8-11:150|11-12:320,8-11-12:620,8 → 12 → 11:6000
202142040103,C3三四,,1400,ダート,,4,6,7,エクセルレジェンド,牡8,54.0,△篠谷葵,1:32.2,1.1/2,,39.3,26.0,6,,,,2021,42,04,01,3,8:350,8:120|12:230|11:110,8-12:2020,8 → 12:2770,8-12:520|8-11:150|11-12:320,8-11-12:620,8 → 12 → 11:6000
202142040103,C3三四,,1400,ダート,,5,7,9,トーアマーブル,牝5,51.0,▲七夕裕次,1:32.5,1.1/2,,37.8,123.1,10,,,,2021,42,04,01,3,8:350,8:120|12:230|11:110,8-12:2020,8 → 12:2770,8-12:520|8-11:150|11-12:320,8-11-12:620,8 → 12 → 11:6000
