race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
201505010201,,,1300,ダート,重,1,8,16,コンドルヒデオ,牡3,56,ベリー,1:19.2,,9-9,36.2,5.8,2,486(-2),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,2,6,11,ロックフォール,牡3,56,ブノワ,1:19.9,4,4-4,37.2,16.0,6,438(+10),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,3,7,14,キョウエイプライド,牡3,56,田中勝春,1:20.1,1.1/4,6-7,37.2,9.0,4,506(+4),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,4,4,7,シャトルソニック,牡3,56,蛯名正義,1:20.2,3/4,2-2,37.7,11.7,5,482(+4),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,5,5,9,ウサギノカケアシ,牡3,56,吉原寛人,1:20.2,アタマ,6-4,37.4,18.7,8,472(-4),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,6,1,1,オーバーウェルム,牡3,56,横山典弘,1:20.5,1.3/4,14-12,37.2,2.1,1,450(0),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,7,1,2,ピックアンドポップ,牡3,56,北村宏司,1:20.6,1/2,4-4,37.9,5.9,3,486(+4),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,8,8,15,ミスチフウイッチ,牝3,54,西田雄一,1:20.6,クビ,11-12,37.3,73.2,10,440(-6),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,9,2,4,ダンガンコゾウ,牡3,56,嘉藤貴行,1:20.7,クビ,9-9,37.7,18.3,7,474(-2),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,10,3,6,タケルワールド,牡3,56,Ｃ．デム,1:20.7,クビ,2-2,38.2,73.6,11,442(-10),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,11,6,12,ディナール,牡3,56,武士沢友,1:20.8,1/2,15-15,37.2,244.2,13,450(0),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,12,3,5,スーパーテノール,牡3,56,柴山雄一,1:21.0,1.1/4,6-7,38.1,325.5,14,484(0),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,13,4,8,マイネルブラスト,牡3,56,丹内祐次,1:21.1,クビ,11-9,38.1,355.9,15,460(+2),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,14,7,13,スカイルピナス,牝3,51,原田和真,1:21.2,1/2,16-15,37.6,544.9,16,436(+4),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,15,2,3,デルマヨタロウ,牡3,56,津村明秀,1:21.3,3/4,1-1,38.9,37.8,9,478(+12),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010201,,,1300,ダート,重,16,5,10,ダイゴマサムネ,牡3,56,吉田隼人,1:21.6,1.3/4,11-12,38.3,217.3,12,484(-4),2015,05,01,02,01,16:580,16:220|11:380|14:210,11 - 16:3310,16 → 11:6180,11 - 16:960|14 - 16:670|11 - 14:1520,11 - 14 - 16:6750,16 → 11 → 14:40160
201505010203,,,1600,ダート,重,1,1,1,ワイルドダンサー,牡3,56,福永祐一,1:38.4,,6-5,38.6,3.5,1,484(0),2015,05,01,02,03,1:350,1:200|16:400|8:500,1 - 16:4150,1 → 16:6410,1 - 16:1360|1 - 8:1360|8 - 16:3170,1 - 8 - 16:20710,1 → 16 → 8:86560
201505010203,,,1600,ダート,重,2,8,16,ミュゼフローレンス,牝3,54,柴山雄一,1:38.7,2,3-3,39.1,11.0,5,484(-2),2015,05,01,02,03,1:350,1:200|16:400|8:500,1 - 16:4150,1 → 16:6410,1 - 16:1360|1 - 8:1360|8 - 16:3170,1 - 8 - 16:20710,1 → 16 → 8:86560
201505010203,,,1600,ダート,重,3,4,8,ステイリッチ,牡3,56,Ｃ．デム,1:39.0,2,2-2,39.6,14.1,6,534(+24),2015,05,01,02,03,1:350,1:200|16:400|8:500,1 - 16:4150,1 → 16:6410,1 - 16:1360|1 - 8:1360|8 - 16:3170,1 - 8 - 16:20710,1 → 16 → 8:86560
201505010203,,,1600,ダート,重,4,3,5,プレーケストーレン,牡3,56,吉原寛人,1:39.1,クビ,9-9,39.0,5.4,3,528(-8),2015,05,01,02,03,1:350,1:200|16:400|8:500,1 - 16:4150,1 → 16:6410,1 - 16:1360|1 - 8:1360|8 - 16:3170,1 - 8 - 16:20710,1 → 16 → 8:86560
201505010203,,,1600,ダート,重,5,6,11,ハイヴォルテージ,牡3,53,木幡初也,1:39.3,3/4,13-12,38.9,21.0,9,436(+6),2015,05,01,02,03,1:350,1:200|16:400|8:500,1 - 16:4150,1 → 16:6410,1 - 16:1360|1 - 8:1360|8 - 16:3170,1 - 8 - 16:20710,1 → 16 → 8:86560
201505010203,,,1600,ダート,重,6,5,10,アフェットゥオーソ,牡3,56,横山典弘,1:39.4,1/2,1-1,40.1,3.6,2,490(0),2015,05,01,02,03,1:350,1:200|16:400|8:500,1 - 16:4150,1 → 16:6410,1 - 16:1360|1 - 8:1360|8 - 16:3170,1 - 8 - 16:20710,1 → 16 → 8:86560
201505010203,,,1600,ダート,重,7,7,13,オルグ,牡3,56,田辺裕信,1:39.4,クビ,8-5,39.6,20.1,8,462(-2),2015,05,01,02,03,1:350,1:200|16:400|8:500,1 - 16:4150,1 → 16:6410,1 - 16:1360|1 - 8:1360|8 - 16:3170,1 - 8 - 16:20710,1 → 16 → 8:86560
201505010203,,,1600,ダート,重,8,8,15,ツェッペリン,牡3,56,北村宏司,1:39.6,1.1/4,7-4,39.9,56.9,11,452(-2),2015,05,01,02,03,1:350,1:200|16:400|8:500,1 - 16:4150,1 → 16:6410,1 - 16:1360|1 - 8:1360|8 - 16:3170,1 - 8 - 16:20710,1 → 16 → 8:86560
201505010203,,,1600,ダート,重,9,6,12,デュアルフレイム,牡3,56,内田博幸,1:39.7,1/2,11-9,39.6,31.4,10,458(-2),2015,05,01,02,03,1:350,1:200|16:400|8:500,1 - 16:4150,1 → 16:6410,1 - 16:1360|1 - 8:1360|8 - 16:3170,1 - 8 - 16:20710,1 → 16 → 8:86560
201505010203,,,1600,ダート,重,10,4,7,タイセイプレシャス,牡3,56,大野拓弥,1:40.2,3,14-13,39.5,218.1,14,466(+2),2015,05,01,02,03,1:350,1:200|16:400|8:500,1 - 16:4150,1 → 16:6410,1 - 16:1360|1 - 8:1360|8 - 16:3170,1 - 8 - 16:20710,1 → 16 → 8:86560
