race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,調教師,調教タイム,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202142020101,C3九十,,1400,ダート,重,1,5,6,マイネルベッカー,牡6,56.0,森泰斗,1:31.6,,,39.7,3.9,2,,,,2021,42,02,01,1,6:390,6:130|9:210|5:110,6-9:1690,6 → 9:3040,6-9:490|5-6:220|5-9:460,5-6-9:1420,6 → 9 → 5:9810
202142020101,C3九十,,1400,ダート,重,2,7,9,サーストンニケ,牝7,54.0,橋本直哉,1:31.9,1.1/2,,40.4,7.9,5,,,,2021,42,02,01,1,6:390,6:130|9:210|5:110,6-9:1690,6 → 9:3040,6-9:490|5-6:220|5-9:460,5-6-9:1420,6 → 9 → 5:9810
202142020101,C3九十,,1400,ダート,重,3,5,5,サンカーメル,牝7,54.0,今野忠成,1:32.1,1,,39.7,3.2,1,,,,2021,42,02,01,1,6:390,6:130|9:210|5:110,6-9:1690,6 → 9:3040,6-9:490|5-6:220|5-9:460,5-6-9:1420,6 → 9 → 5:9810
202142020101,C3九十,,1400,ダート,重,4,4,4,トーセンクルーズ,牝6,54.0,寺島憂人,1:33.0,4,,40.4,18.3,7,,,,2021,42,02,01,1,6:390,6:130|9:210|5:110,6-9:1690,6 → 9:3040,6-9:490|5-6:220|5-9:460,5-6-9:1420,6 → 9 → 5:9810
202142020101,C3九十,,1400,ダート,重,5,8,11,ピレニーズキング,牡6,56.0,山本聡紀,1:33.3,1.1/2,,40.3,6.9,4,,,,2021,42,02,01,1,6:390,6:130|9:210|5:110,6-9:1690,6 → 9:3040,6-9:490|5-6:220|5-9:460,5-6-9:1420,6 → 9 → 5:9810
202142020101,C3九十,,1400,ダート,重,6,1,1,メイショウミナモト,牡6,56.0,酒井忍,1:33.4,3/4,,40.4,41.7,9,,,,2021,42,02,01,1,6:390,6:130|9:210|5:110,6-9:1690,6 → 9:3040,6-9:490|5-6:220|5-9:460,5-6-9:1420,6 → 9 → 5:9810
202142020101,C3九十,,1400,ダート,重,7,2,2,ダイエーカチドキ,牡8,53.0,▲七夕裕次,1:33.7,1.1/2,,41.8,4.8,3,,,,2021,42,02,01,1,6:390,6:130|9:210|5:110,6-9:1690,6 → 9:3040,6-9:490|5-6:220|5-9:460,5-6-9:1420,6 → 9 → 5:9810
202142020101,C3九十,,1400,ダート,重,8,3,3,シンライヴィヴ,牝6,54.0,山中悠希,1:34.6,4,,42.0,190.5,11,,,,2021,42,02,01,1,6:390,6:130|9:210|5:110,6-9:1690,6 → 9:3040,6-9:490|5-6:220|5-9:460,5-6-9:1420,6 → 9 → 5:9810
202142020101,C3九十,,1400,ダート,重,9,8,12,アラレチャン,牝6,50.0,★中島良美,1:34.7,クビ,,41.3,71.7,10,,,,2021,42,02,01,1,6:390,6:130|9:210|5:110,6-9:1690,6 → 9:3040,6-9:490|5-6:220|5-9:460,5-6-9:1420,6 → 9 → 5:9810
202142020101,C3九十,,1400,ダート,重,10,7,10,ドラゴンボート,牡7,56.0,高橋哲也,1:35.3,3,,43.1,12.2,6,,,,2021,42,02,01,1,6:390,6:130|9:210|5:110,6-9:1690,6 → 9:3040,6-9:490|5-6:220|5-9:460,5-6-9:1420,6 → 9 → 5:9810
