race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,調教師,調教タイム,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202130090101,2歳 未勝利,,1600,ダート,良,1,7,7,ベルイルアンメール,牝2,54.0,落合玄太,1:45.6,,,42.6,5.5,3,,,,2021,30,09,01,1,7:550,7:200|3:160|9:210,3-7:680,7 → 3:1940,3-7:340|7-9:550|3-9:430,3-7-9:1080,7 → 3 → 9:6310
202130090101,2歳 未勝利,,1600,ダート,良,2,3,3,エイシンクエーサー,牡2,54.0,服部茂史,1:46.2,3,,42.4,3.1,2,,,,2021,30,09,01,1,7:550,7:200|3:160|9:210,3-7:680,7 → 3:1940,3-7:340|7-9:550|3-9:430,3-7-9:1080,7 → 3 → 9:6310
202130090101,2歳 未勝利,,1600,ダート,良,3,8,9,ハッチャキコク,牝2,54.0,山本咲希,1:46.4,1,,42.4,7.7,4,,,,2021,30,09,01,1,7:550,7:200|3:160|9:210,3-7:680,7 → 3:1940,3-7:340|7-9:550|3-9:430,3-7-9:1080,7 → 3 → 9:6310
202130090101,2歳 未勝利,,1600,ダート,良,4,1,1,ココヒメ,牝2,54.0,小野楓馬,1:46.5,3/4,,42.4,118.6,9,,,,2021,30,09,01,1,7:550,7:200|3:160|9:210,3-7:680,7 → 3:1940,3-7:340|7-9:550|3-9:430,3-7-9:1080,7 → 3 → 9:6310
202130090101,2歳 未勝利,,1600,ダート,良,5,2,2,エムオーポケット,牡2,54.0,桑村真明,1:47.1,3,,43.2,1.9,1,,,,2021,30,09,01,1,7:550,7:200|3:160|9:210,3-7:680,7 → 3:1940,3-7:340|7-9:550|3-9:430,3-7-9:1080,7 → 3 → 9:6310
202130090101,2歳 未勝利,,1600,ダート,良,6,7,8,ナツメク,牡2,54.0,石川倭,1:47.5,2,,40.9,30.4,5,,,,2021,30,09,01,1,7:550,7:200|3:160|9:210,3-7:680,7 → 3:1940,3-7:340|7-9:550|3-9:430,3-7-9:1080,7 → 3 → 9:6310
202130090101,2歳 未勝利,,1600,ダート,良,7,8,10,フロンテイラ,牡2,54.0,五十嵐冬,1:48.3,4,,43.4,39.9,6,,,,2021,30,09,01,1,7:550,7:200|3:160|9:210,3-7:680,7 → 3:1940,3-7:340|7-9:550|3-9:430,3-7-9:1080,7 → 3 → 9:6310
202130090101,2歳 未勝利,,1600,ダート,良,8,6,6,エスケイローレンス,牝2,54.0,阪野学,1:49.0,3,,43.8,58.6,7,,,,2021,30,09,01,1,7:550,7:200|3:160|9:210,3-7:680,7 → 3:1940,3-7:340|7-9:550|3-9:430,3-7-9:1080,7 → 3 → 9:6310
202130090101,2歳 未勝利,,1600,ダート,良,9,4,4,ブエラアルト,牝2,54.0,阿部龍,1:51.3,大,,47.4,73.7,8,,,,2021,30,09,01,1,7:550,7:200|3:160|9:210,3-7:680,7 → 3:1940,3-7:340|7-9:550|3-9:430,3-7-9:1080,7 → 3 → 9:6310
202130090101,2歳 未勝利,,1600,ダート,良,10,5,5,ターンザコーナ,牡2,54.0,岩橋勇二,1:53.0,8,,46.3,238.5,10,,,,2021,30,09,01,1,7:550,7:200|3:160|9:210,3-7:680,7 → 3:1940,3-7:340|7-9:550|3-9:430,3-7-9:1080,7 → 3 → 9:6310
