race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,調教師,調教タイム,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202501020501,,,1700,ダート,良,1,5,5,リピース,牝2,52,小林美駒,1:48.8,,1-1-5-5,38.4,2.4,1,422(-2),前川恭子,,2025,01,02,05,01,5:240,5:110|3:130|6:190,3 - 5:380,5 → 3:610,3 - 5:180|5 - 6:320|3 - 6:510,3 - 5 - 6:730,5 → 3 → 6:2490
202501020501,,,1700,ダート,良,2,3,3,ユニゾン,牡2,55,丹内祐次,1:48.8,1/2,4-3-8-8,38.1,4.6,2,450(+2),菊川正達,,2025,01,02,05,01,5:240,5:110|3:130|6:190,3 - 5:380,5 → 3:610,3 - 5:180|5 - 6:320|3 - 6:510,3 - 5 - 6:730,5 → 3 → 6:2490
202501020501,,,1700,ダート,良,3,6,6,ジェネチェン,牝2,55,菱田裕二,1:49.1,1.3/4,2-2-1-1,39.3,6.4,4,438(-10),角田晃一,,2025,01,02,05,01,5:240,5:110|3:130|6:190,3 - 5:380,5 → 3:610,3 - 5:180|5 - 6:320|3 - 6:510,3 - 5 - 6:730,5 → 3 → 6:2490
202501020501,,,1700,ダート,良,4,8,10,タイガーゲイト,牡2,54,松本大輝,1:50.0,5,9-9-3-2,39.9,40.5,7,464(-2),大和田成,,2025,01,02,05,01,5:240,5:110|3:130|6:190,3 - 5:380,5 → 3:610,3 - 5:180|5 - 6:320|3 - 6:510,3 - 5 - 6:730,5 → 3 → 6:2490
202501020501,,,1700,ダート,良,5,4,4,ユウトザケンケン,牡2,55,鮫島克駿,1:50.2,1.1/2,7-8-2-2,40.3,7.3,5,478(-8),小崎憲,,2025,01,02,05,01,5:240,5:110|3:130|6:190,3 - 5:380,5 → 3:610,3 - 5:180|5 - 6:320|3 - 6:510,3 - 5 - 6:730,5 → 3 → 6:2490
202501020501,,,1700,ダート,良,6,8,9,ティブロン,牡2,55,佐々木大,1:50.5,2,5-6-5-2,40.2,5.3,3,526(-6),矢嶋大樹,,2025,01,02,05,01,5:240,5:110|3:130|6:190,3 - 5:380,5 → 3:610,3 - 5:180|5 - 6:320|3 - 6:510,3 - 5 - 6:730,5 → 3 → 6:2490
202501020501,,,1700,ダート,良,7,1,1,ウルヴァリン,牡2,55,原田和真,1:50.9,2,7-6-8-8,40.3,277.8,10,484(0),伊藤伸一,,2025,01,02,05,01,5:240,5:110|3:130|6:190,3 - 5:380,5 → 3:610,3 - 5:180|5 - 6:320|3 - 6:510,3 - 5 - 6:730,5 → 3 → 6:2490
202501020501,,,1700,ダート,良,8,7,8,テンバコウクウ,牡2,55,松岡正海,1:51.5,3.1/2,10-10-10-10,40.2,45.4,8,458(+6),柄崎将寿,,2025,01,02,05,01,5:240,5:110|3:130|6:190,3 - 5:380,5 → 3:610,3 - 5:180|5 - 6:320|3 - 6:510,3 - 5 - 6:730,5 → 3 → 6:2490
202501020501,,,1700,ダート,良,9,2,2,ステイフリー,牝2,52,舟山瑠泉,1:51.5,アタマ,5-3-5-6,41.1,12.5,6,444(0),高橋義忠,,2025,01,02,05,01,5:240,5:110|3:130|6:190,3 - 5:380,5 → 3:610,3 - 5:180|5 - 6:320|3 - 6:510,3 - 5 - 6:730,5 → 3 → 6:2490
202501020501,,,1700,ダート,良,10,7,7,ホーリーデイ,牡2,55,古川吉洋,1:53.5,大,2-3-3-6,43.4,50.1,9,432(+12),牧光二,,2025,01,02,05,01,5:240,5:110|3:130|6:190,3 - 5:380,5 → 3:610,3 - 5:180|5 - 6:320|3 - 6:510,3 - 5 - 6:730,5 → 3 → 6:2490
202501020502,,,1200,芝,良,1,8,11,ラスベガスサイン,牝2,52,小林美駒,1:09.7,,1-1,35.0,3.7,2,400(+6),長谷川浩,,2025,01,02,05,02,11:370,11:140|2:420|8:180,2 - 11:5410,11 → 2:8770,2 - 11:1140|8 - 11:350|2 - 8:1590,2 - 8 - 11:5780,11 → 2 → 8:34580
202501020502,,,1200,芝,良,2,2,2,ココソラーレ,牝2,52,橋木太希,1:10.6,5,7-7,35.3,31.4,7,436(-2),天間昭一,,2025,01,02,05,02,11:370,11:140|2:420|8:180,2 - 11:5410,11 → 2:8770,2 - 11:1140|8 - 11:350|2 - 8:1590,2 - 8 - 11:5780,11 → 2 → 8:34580
202501020502,,,1200,芝,良,3,7,8,ヒッグスボソン,牡2,55,横山武史,1:10.7,クビ,2-2,35.9,6.3,4,426(0),高橋義忠,,2025,01,02,05,02,11:370,11:140|2:420|8:180,2 - 11:5410,11 → 2:8770,2 - 11:1140|8 - 11:350|2 - 8:1590,2 - 8 - 11:5780,11 → 2 → 8:34580
202501020502,,,1200,芝,良,4,8,10,ワイズギャング,牝2,55,古川吉洋,1:10.9,1.1/2,3-4,35.9,3.1,1,440(0),河嶋宏樹,,2025,01,02,05,02,11:370,11:140|2:420|8:180,2 - 11:5410,11 → 2:8770,2 - 11:1140|8 - 11:350|2 - 8:1590,2 - 8 - 11:5780,11 → 2 → 8:34580
202501020502,,,1200,芝,良,5,6,6,ベルグランボヌール,牝2,55,佐々木大,1:11.1,1.1/4,3-3,36.2,4.3,3,422(-4),須貝尚介,,2025,01,02,05,02,11:370,11:140|2:420|8:180,2 - 11:5410,11 → 2:8770,2 - 11:1140|8 - 11:350|2 - 8:1590,2 - 8 - 11:5780,11 → 2 → 8:34580
202501020502,,,1200,芝,良,6,4,4,ブレッティレディ,牝2,55,丹内祐次,1:11.4,1.3/4,10-8,35.9,44.3,8,438(-4),高橋一哉,,2025,01,02,05,02,11:370,11:140|2:420|8:180,2 - 11:5410,11 → 2:8770,2 - 11:1140|8 - 11:350|2 - 8:1590,2 - 8 - 11:5780,11 → 2 → 8:34580
202501020502,,,1200,芝,良,7,6,7,マスキュラー,牡2,55,松岡正海,1:11.5,3/4,3-4,36.5,6.4,5,468(+2),高橋一哉,,2025,01,02,05,02,11:370,11:140|2:420|8:180,2 - 11:5410,11 → 2:8770,2 - 11:1140|8 - 11:350|2 - 8:1590,2 - 8 - 11:5780,11 → 2 → 8:34580
202501020502,,,1200,芝,良,8,3,3,フィティテラ,牝2,55,横山和生,1:11.5,ハナ,3-6,36.5,23.1,6,432(-2),昆貢,,2025,01,02,05,02,11:370,11:140|2:420|8:180,2 - 11:5410,11 → 2:8770,2 - 11:1140|8 - 11:350|2 - 8:1590,2 - 8 - 11:5780,11 → 2 → 8:34580
202501020502,,,1200,芝,良,9,1,1,ディアナタコス,牡2,52,古川奈穂,1:11.7,1.1/4,7-8,36.4,102.9,9,416(0),前川恭子,,2025,01,02,05,02,11:370,11:140|2:420|8:180,2 - 11:5410,11 → 2:8770,2 - 11:1140|8 - 11:350|2 - 8:1590,2 - 8 - 11:5780,11 → 2 → 8:34580
202501020502,,,1200,芝,良,10,5,5,シンギュラーレディ,牝2,52,森田誠也,1:12.1,2,9-8,36.7,104.1,10,432(+6),佐藤悠太,,2025,01,02,05,02,11:370,11:140|2:420|8:180,2 - 11:5410,11 → 2:8770,2 - 11:1140|8 - 11:350|2 - 8:1590,2 - 8 - 11:5780,11 → 2 → 8:34580
202501020502,,,1200,芝,良,11,7,9,サフィニア,牝2,55,原田和真,1:12.4,2,11-11,36.7,171.6,11,442(+16),佐藤吉勝,,2025,01,02,05,02,11:370,11:140|2:420|8:180,2 - 11:5410,11 → 2:8770,2 - 11:1140|8 - 11:350|2 - 8:1590,2 - 8 - 11:5780,11 → 2 → 8:34580
202501020503,,,1000,ダート,良,1,2,2,サツキレジーナ,牝3,55,古川吉洋,0:58.9,,1-1,35.7,5.4,3,436(+4),石栗龍彦,,2025,01,02,05,03,2:540,2:170|6:240|11:130,2 - 6:2120,2 → 6:3900,2 - 6:590|2 - 11:310|6 - 11:550,2 - 6 - 11:2020,2 → 6 → 11:15800
202501020503,,,1000,ダート,良,2,5,6,テーオーテバルディ,牝3,52,小林美駒,0:59.3,2.1/2,5-6,35.6,11.4,5,444(-2),藤野健太,,2025,01,02,05,03,2:540,2:170|6:240|11:130,2 - 6:2120,2 → 6:3900,2 - 6:590|2 - 11:310|6 - 11:550,2 - 6 - 11:2020,2 → 6 → 11:15800
202501020503,,,1000,ダート,良,3,8,11,セイルロケット,牡3,55,鷲頭虎太,0:59.3,アタマ,4-3,35.9,2.6,1,452(+2),橋口慎介,,2025,01,02,05,03,2:540,2:170|6:240|11:130,2 - 6:2120,2 → 6:3900,2 - 6:590|2 - 11:310|6 - 11:550,2 - 6 - 11:2020,2 → 6 → 11:15800
202501020503,,,1000,ダート,良,4,1,1,リュウジンオー,牡3,57,池添謙一,0:59.4,クビ,5-4,35.7,8.8,4,458(-4),野中賢二,,2025,01,02,05,03,2:540,2:170|6:240|11:130,2 - 6:2120,2 → 6:3900,2 - 6:590|2 - 11:310|6 - 11:550,2 - 6 - 11:2020,2 → 6 → 11:15800
