race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
201606020301,,,1800,ダート,良,1,6,12,ブランシェクール,牝3,54,三浦皇成,1:57.2,,10-10-5-2,38.9,1.8,1,508(0),2016,06,02,03,01,12:180,12:110|1:200|6:170,1 - 12:1110,12 → 1:1690,1 - 12:500|6 - 12:330|1 - 6:910,1 - 6 - 12:2150,12 → 1 → 6:7470
201606020301,,,1800,ダート,良,2,1,1,サトノアンジュ,牝3,54,ルメール,1:57.9,4,7-7-7-5,39.5,8.0,4,474(0),2016,06,02,03,01,12:180,12:110|1:200|6:170,1 - 12:1110,12 → 1:1690,1 - 12:500|6 - 12:330|1 - 6:910,1 - 6 - 12:2150,12 → 1 → 6:7470
201606020301,,,1800,ダート,良,3,3,6,スプリングキャロル,牝3,53,石川裕紀,1:58.0,クビ,13-13-14-10,39.1,7.0,2,420(0),2016,06,02,03,01,12:180,12:110|1:200|6:170,1 - 12:1110,12 → 1:1690,1 - 12:500|6 - 12:330|1 - 6:910,1 - 6 - 12:2150,12 → 1 → 6:7470
201606020301,,,1800,ダート,良,4,6,11,デフィニール,牝3,54,柴田大知,1:58.2,1.1/2,10-10-12-10,39.5,7.8,3,464(-4),2016,06,02,03,01,12:180,12:110|1:200|6:170,1 - 12:1110,12 → 1:1690,1 - 12:500|6 - 12:330|1 - 6:910,1 - 6 - 12:2150,12 → 1 → 6:7470
201606020301,,,1800,ダート,良,5,2,3,ティーメロー,牝3,54,柴田善臣,1:58.2,ハナ,16-15-2-1,40.1,26.6,8,480(+2),2016,06,02,03,01,12:180,12:110|1:200|6:170,1 - 12:1110,12 → 1:1690,1 - 12:500|6 - 12:330|1 - 6:910,1 - 6 - 12:2150,12 → 1 → 6:7470
201606020301,,,1800,ダート,良,6,1,2,パーミストリー,牝3,54,大野拓弥,1:58.5,1.3/4,7-7-8-7,39.9,17.5,7,470(+4),2016,06,02,03,01,12:180,12:110|1:200|6:170,1 - 12:1110,12 → 1:1690,1 - 12:500|6 - 12:330|1 - 6:910,1 - 6 - 12:2150,12 → 1 → 6:7470
201606020301,,,1800,ダート,良,7,7,14,トキメキユキチャン,牝3,54,酒井学,1:58.8,2,10-10-8-9,40.2,228.7,12,430(-6),2016,06,02,03,01,12:180,12:110|1:200|6:170,1 - 12:1110,12 → 1:1690,1 - 12:500|6 - 12:330|1 - 6:910,1 - 6 - 12:2150,12 → 1 → 6:7470
201606020301,,,1800,ダート,良,8,3,5,ブライトガーランド,牝3,54,江田照男,1:58.8,ハナ,5-4-5-7,40.5,15.1,6,480(-2),2016,06,02,03,01,12:180,12:110|1:200|6:170,1 - 12:1110,12 → 1:1690,1 - 12:500|6 - 12:330|1 - 6:910,1 - 6 - 12:2150,12 → 1 → 6:7470
201606020301,,,1800,ダート,良,9,7,13,セイザン,牝3,54,石橋脩,1:59.1,2,15-16-16-15,39.8,126.5,11,458(+4),2016,06,02,03,01,12:180,12:110|1:200|6:170,1 - 12:1110,12 → 1:1690,1 - 12:500|6 - 12:330|1 - 6:910,1 - 6 - 12:2150,12 → 1 → 6:7470
201606020301,,,1800,ダート,良,10,8,16,プリンセスミエル,牝3,51,木幡巧也,1:59.1,ハナ,3-3-4-4,40.9,39.3,9,452(-2),2016,06,02,03,01,12:180,12:110|1:200|6:170,1 - 12:1110,12 → 1:1690,1 - 12:500|6 - 12:330|1 - 6:910,1 - 6 - 12:2150,12 → 1 → 6:7470
