race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,調教師,調教タイム,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202236040301,HORSE&HOPE(C2),,1300,ダート,良,1,3,3,ベルシャダンディ,牡4,56.0,岩本怜,1:25.1,,,40.8,1.3,1,,,,2022,36,04,03,1,3:130,3:110|4:400,3-4:990,3 → 4:1210,3-4:330|3-6:150|4-6:600,3-4-6:1210,3 → 4 → 6:3780
202236040301,HORSE&HOPE(C2),,1300,ダート,良,2,4,4,ブルートブロッサム,牝4,54.0,木村暁,1:26.1,6,,42.0,18.9,5,,,,2022,36,04,03,1,3:130,3:110|4:400,3-4:990,3 → 4:1210,3-4:330|3-6:150|4-6:600,3-4-6:1210,3 → 4 → 6:3780
202236040301,HORSE&HOPE(C2),,1300,ダート,良,3,6,6,トラモンタン,牡5,56.0,山本政聡,1:26.8,4,,41.8,8.0,3,,,,2022,36,04,03,1,3:130,3:110|4:400,3-4:990,3 → 4:1210,3-4:330|3-6:150|4-6:600,3-4-6:1210,3 → 4 → 6:3780
202236040301,HORSE&HOPE(C2),,1300,ダート,良,4,8,8,ブライティアサンバ,牝7,54.0,関本淳,1:27.1,1.1/2,,40.3,32.7,6,,,,2022,36,04,03,1,3:130,3:110|4:400,3-4:990,3 → 4:1210,3-4:330|3-6:150|4-6:600,3-4-6:1210,3 → 4 → 6:3780
202236040301,HORSE&HOPE(C2),,1300,ダート,良,5,2,2,ハンセイキ,セ4,56.0,菅原辰徳,1:27.2,1/2,,41.6,68.5,7,,,,2022,36,04,03,1,3:130,3:110|4:400,3-4:990,3 → 4:1210,3-4:330|3-6:150|4-6:600,3-4-6:1210,3 → 4 → 6:3780
202236040301,HORSE&HOPE(C2),,1300,ダート,良,6,7,7,サバイバルナイト,牡4,56.0,村上忍,1:28.5,8,,43.6,10.4,4,,,,2022,36,04,03,1,3:130,3:110|4:400,3-4:990,3 → 4:1210,3-4:330|3-6:150|4-6:600,3-4-6:1210,3 → 4 → 6:3780
202236040301,HORSE&HOPE(C2),,1300,ダート,良,7,1,1,ルーチェビアンカ,牝4,54.0,鈴木祐,1:28.7,3/4,,44.7,6.0,2,,,,2022,36,04,03,1,3:130,3:110|4:400,3-4:990,3 → 4:1210,3-4:330|3-6:150|4-6:600,3-4-6:1210,3 → 4 → 6:3780
202236040302,C2十一組,,1300,ダート,良,1,4,4,アンズビジン,牝5,54.0,高松亮,1:26.4,,,40.2,3.7,2,,,,2022,36,04,03,2,4:370,4:170|2:120,2-4:230,4 → 2:620,2-4:160|4-5:540|2-5:410,2-4-5:1030,4 → 2 → 5:2820
202236040302,C2十一組,,1300,ダート,良,2,2,2,ナガラチェリー,牝5,54.0,菅原辰徳,1:27.0,4,,40.6,1.6,1,,,,2022,36,04,03,2,4:370,4:170|2:120,2-4:230,4 → 2:620,2-4:160|4-5:540|2-5:410,2-4-5:1030,4 → 2 → 5:2820
202236040302,C2十一組,,1300,ダート,良,3,5,5,スターオブジーン,牡6,56.0,岩本怜,1:27.4,2.1/2,,40.8,10.1,4,,,,2022,36,04,03,2,4:370,4:170|2:120,2-4:230,4 → 2:620,2-4:160|4-5:540|2-5:410,2-4-5:1030,4 → 2 → 5:2820
202236040302,C2十一組,,1300,ダート,良,4,6,6,ツクバゴールド,牡5,56.0,南郷家全,1:28.1,4,,41.1,10.4,5,,,,2022,36,04,03,2,4:370,4:170|2:120,2-4:230,4 → 2:620,2-4:160|4-5:540|2-5:410,2-4-5:1030,4 → 2 → 5:2820
202236040302,C2十一組,,1300,ダート,良,5,7,7,クリノネモフィラ,牝4,54.0,鈴木祐,1:28.1,クビ,,41.2,22.5,7,,,,2022,36,04,03,2,4:370,4:170|2:120,2-4:230,4 → 2:620,2-4:160|4-5:540|2-5:410,2-4-5:1030,4 → 2 → 5:2820
202236040302,C2十一組,,1300,ダート,良,6,8,8,マネッチア,牝4,54.0,山本政聡,1:28.4,1.1/2,,40.6,19.5,6,,,,2022,36,04,03,2,4:370,4:170|2:120,2-4:230,4 → 2:620,2-4:160|4-5:540|2-5:410,2-4-5:1030,4 → 2 → 5:2820
202236040302,C2十一組,,1300,ダート,良,7,1,1,スイセイオリュウ,牝7,54.0,大坪慎,1:28.8,2.1/2,,42.1,10.1,3,,,,2022,36,04,03,2,4:370,4:170|2:120,2-4:230,4 → 2:620,2-4:160|4-5:540|2-5:410,2-4-5:1030,4 → 2 → 5:2820
202236040303,C2十組,,1300,ダート,良,1,8,8,ヴァルナ,セ5,56.0,高松亮,1:25.9,,,40.5,1.1,1,,,,2022,36,04,03,3,8:110,8:100|2:350|3:190,2-8:1820,8 → 2:2370,2-8:590|3-8:300|2-3:2270,2-3-8:4480,8 → 2 → 3:11710
202236040303,C2十組,,1300,ダート,良,2,2,2,ウヒョウノヒビキ,牝4,54.0,高橋悠里,1:26.9,6,,40.7,62.5,7,,,,2022,36,04,03,3,8:110,8:100|2:350|3:190,2-8:1820,8 → 2:2370,2-8:590|3-8:300|2-3:2270,2-3-8:4480,8 → 2 → 3:11710
202236040303,C2十組,,1300,ダート,良,3,3,3,パーフェクトレース,牝6,54.0,坂口裕一,1:27.0,1/2,,40.8,27.5,5,,,,2022,36,04,03,3,8:110,8:100|2:350|3:190,2-8:1820,8 → 2:2370,2-8:590|3-8:300|2-3:2270,2-3-8:4480,8 → 2 → 3:11710
202236040303,C2十組,,1300,ダート,良,4,4,4,トーホウウノ,牝8,54.0,岩本怜,1:27.2,1,,40.4,34.1,6,,,,2022,36,04,03,3,8:110,8:100|2:350|3:190,2-8:1820,8 → 2:2370,2-8:590|3-8:300|2-3:2270,2-3-8:4480,8 → 2 → 3:11710
202236040303,C2十組,,1300,ダート,良,5,6,6,レッツゴーゲレイロ,セ7,56.0,南郷家全,1:27.4,1,,40.8,26.0,4,,,,2022,36,04,03,3,8:110,8:100|2:350|3:190,2-8:1820,8 → 2:2370,2-8:590|3-8:300|2-3:2270,2-3-8:4480,8 → 2 → 3:11710
202236040303,C2十組,,1300,ダート,良,6,7,7,ナナナナナイロ,牝4,54.0,木村暁,1:27.9,3,,42.3,5.4,2,,,,2022,36,04,03,3,8:110,8:100|2:350|3:190,2-8:1820,8 → 2:2370,2-8:590|3-8:300|2-3:2270,2-3-8:4480,8 → 2 → 3:11710
202236040303,C2十組,,1300,ダート,良,7,5,5,イダリス,牝4,54.0,菅原辰徳,1:28.7,5,,42.7,13.0,3,,,,2022,36,04,03,3,8:110,8:100|2:350|3:190,2-8:1820,8 → 2:2370,2-8:590|3-8:300|2-3:2270,2-3-8:4480,8 → 2 → 3:11710
