race_id,race_name,grade,距離,コース,馬場状態,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝オッズ,人気,馬体重,年,場コード,回次,日次,レース番号,単勝払戻,複勝払戻,馬連払戻,馬単払戻,ワイド払戻,三連複払戻,三連単払戻
202201010101,,,1800,芝,稍重,1,1,1,アンテロース,牡2,54,武豊,1:53.5,,2-2-2-2,35.9,1.2,1,436(0),2022,01,01,01,01,1:120,1:100|3:210,1 - 3:520,1 → 3:640,1 - 3:140|1 - 5:110|3 - 5:190,1 - 3 - 5:200,1 → 3 → 5:980
202201010101,,,1800,芝,稍重,2,3,3,トーセンウォルト,牡2,54,横山武史,1:53.6,クビ,4-2-3-4,35.8,11.3,3,450(-6),2022,01,01,01,01,1:120,1:100|3:210,1 - 3:520,1 → 3:640,1 - 3:140|1 - 5:110|3 - 5:190,1 - 3 - 5:200,1 → 3 → 5:980
202201010101,,,1800,芝,稍重,3,5,5,トーセントラム,牡2,54,横山和生,1:53.7,3/4,2-4-3-2,36.0,4.3,2,412(-6),2022,01,01,01,01,1:120,1:100|3:210,1 - 3:520,1 → 3:640,1 - 3:140|1 - 5:110|3 - 5:190,1 - 3 - 5:200,1 → 3 → 5:980
202201010101,,,1800,芝,稍重,4,2,2,エターナルジェイド,牡2,54,丹内祐次,1:54.4,4,1-1-1-1,37.0,17.2,4,432(-2),2022,01,01,01,01,1:120,1:100|3:210,1 - 3:520,1 → 3:640,1 - 3:140|1 - 5:110|3 - 5:190,1 - 3 - 5:200,1 → 3 → 5:980
202201010101,,,1800,芝,稍重,5,4,4,クリノグローリー,牡2,54,菱田裕二,1:54.6,1.1/2,4-4-5-5,36.7,28.4,5,460(+6),2022,01,01,01,01,1:120,1:100|3:210,1 - 3:520,1 → 3:640,1 - 3:140|1 - 5:110|3 - 5:190,1 - 3 - 5:200,1 → 3 → 5:980
202201010102,,,1700,ダート,稍重,1,3,3,インペリアルライン,セ3,55,秋山稔樹,1:47.0,,10-10-5-4,38.1,7.7,5,452(-2),2022,01,01,01,02,3:770,3:200|8:180|4:140,3 - 8:2470,3 → 8:4630,3 - 8:630|3 - 4:680|4 - 8:490,3 - 4 - 8:3170,3 → 8 → 4:25450
202201010102,,,1700,ダート,稍重,2,7,8,ジョーカーブラウン,牡3,56,丹内祐次,1:47.0,1/2,5-5-3-2,38.3,7.3,4,516(-2),2022,01,01,01,02,3:770,3:200|8:180|4:140,3 - 8:2470,3 → 8:4630,3 - 8:630|3 - 4:680|4 - 8:490,3 - 4 - 8:3170,3 → 8 → 4:25450
202201010102,,,1700,ダート,稍重,3,4,4,キングクー,牡3,56,吉田隼人,1:47.0,ハナ,1-1-1-1,38.5,3.4,2,494(0),2022,01,01,01,02,3:770,3:200|8:180|4:140,3 - 8:2470,3 → 8:4630,3 - 8:630|3 - 4:680|4 - 8:490,3 - 4 - 8:3170,3 → 8 → 4:25450
202201010102,,,1700,ダート,稍重,4,8,10,ベッサスタージル,牡3,56,横山和生,1:47.9,5,3-3-3-2,39.2,3.1,1,500(+4),2022,01,01,01,02,3:770,3:200|8:180|4:140,3 - 8:2470,3 → 8:4630,3 - 8:630|3 - 4:680|4 - 8:490,3 - 4 - 8:3170,3 → 8 → 4:25450
202201010102,,,1700,ダート,稍重,5,2,2,アスリエル,牡3,56,岩田康誠,1:48.1,1,5-5-5-6,39.2,12.5,6,464(+10),2022,01,01,01,02,3:770,3:200|8:180|4:140,3 - 8:2470,3 → 8:4630,3 - 8:630|3 - 4:680|4 - 8:490,3 - 4 - 8:3170,3 → 8 → 4:25450
