horse,dist_course,dc_n,dc_wins,dc_wr
サトノバトラー,2400_ダート,3,0,0.0
サトノパトリオット,2200_芝,2,0,0.0
サトノパトリオット,2400_芝,2,0,0.0
サトノファビュラス,1000_芝,2,0,0.0
サトノファビュラス,1200_芝,2,0,0.0
サトノフウジン,1600_ダート,2,0,0.0
サトノフウジン,1800_ダート,1,0,0.0
サトノフェニックス,1400_ダート,2,0,0.0
サトノフェニックス,1700_ダート,1,0,0.0
サトノフェニックス,1800_ダート,1,0,0.0
サトノフォーチュン,1800_芝,1,0,0.0
サトノフォーチュン,2000_芝,1,0,0.0
サトノブリジャール,1800_芝,1,0,0.0
サトノブリジャール,2000_芝,1,0,0.0
サトノブリジャール,2400_芝,1,0,0.0
サトノプリエール,1200_芝,3,1,0.3333333333333333
サトノプリエール,1400_芝,1,0,0.0
サトノヘリオス,1400_芝,1,0,0.0
サトノヘリオス,2000_芝,1,0,0.0
サトノペルセウス,1400_芝,5,1,0.2
サトノボヤージュ,1400_ダート,1,1,1.0
サトノボヤージュ,1600_ダート,1,1,1.0
サトノマジェスタ,1600_芝,1,0,0.0
サトノメルベイユ,1800_芝,2,0,0.0
サトノラクローヌ,1800_芝,1,0,0.0
サトノラッシュ,1800_ダート,2,0,0.0
サトノラポール,1600_芝,1,0,0.0
サトノラポール,1800_芝,1,0,0.0
サトノラポール,2000_芝,1,0,0.0
サトノラムセス,1200_芝,4,0,0.0
サトノラムセス,1400_ダート,1,0,0.0
サトノランデヴー,1200_芝,1,0,0.0
サトノリアン,2000_芝,1,0,0.0
サトノリアン,2400_ダート,2,0,0.0
サトノリーベ,1800_芝,2,0,0.0
サトノリーベ,2000_芝,1,0,0.0
サトノルクソン,1700_ダート,2,0,0.0
サトノルフィアン,1400_ダート,6,1,0.16666666666666666
サトノルフィアン,1600_ダート,2,0,0.0
サトノルフィアン,1700_ダート,1,0,0.0
サトノルーチェ,1200_芝,1,0,0.0
サトノレイズ,2400_ダート,2,0,0.0
サトノレーヴ,1200_芝,5,3,0.6
サトノレーヴ,1400_芝,1,0,0.0
サトノロイヤル,1400_ダート,1,0,0.0
サトノロイヤル,1700_ダート,1,0,0.0
サトノロイヤル,1800_ダート,2,0,0.0
サトノヴィレ,1400_芝,6,1,0.16666666666666666
サトノヴィレ,1600_芝,4,0,0.0
サトノヴィレ,1800_芝,1,1,1.0
サトミノキラリ,1400_芝,11,2,0.18181818181818182
サトミノキラリ,1600_芝,1,0,0.0
サトミノマロン,1600_ダート,2,0,0.0
サトミノマロン,1700_ダート,1,0,0.0
サトミノマロン,1800_ダート,3,0,0.0
サトミノマロン,2100_ダート,1,0,0.0
サトミノマロン,2400_ダート,3,0,0.0
サドル,1200_ダート,3,0,0.0
サドル,1400_ダート,1,0,0.0
サニイアール,1200_芝,1,0,0.0
サニーオーシャン,1200_芝,7,1,0.14285714285714285
サニーサフラン,1150_ダート,1,0,0.0
サニーサフラン,1200_ダート,1,1,1.0
サニーサフラン,1400_ダート,1,0,0.0
サニーサルサ,1200_芝,2,0,0.0
サニーサルサ,1400_ダート,1,0,0.0
サニーサルサ,1400_芝,3,0,0.0
サノノアメリカン,1150_ダート,1,0,0.0
サノノアメリカン,1200_ダート,1,0,0.0
サノノアメリカン,1700_ダート,1,0,0.0
サノノアルペン,1400_ダート,1,0,0.0
サノノエスポ,1600_ダート,1,0,0.0
サノノエスポ,1700_ダート,2,1,0.5
サノノエスポ,1800_ダート,6,0,0.0
サノノエスポ,1900_ダート,1,0,0.0
サノノグレーター,1600_芝,1,0,0.0
サノノサルバドール,1200_芝,1,0,0.0
サノノリッチ,1700_ダート,1,0,0.0
サノノロンドン,1600_芝,1,0,0.0
サノノワンダー,1400_ダート,1,0,0.0
サノノワンダー,1600_ダート,4,0,0.0
サノラキ,1800_ダート,1,0,0.0
サハラ,2100_ダート,1,0,0.0
サハラ,2400_芝,1,0,0.0
サハラ,2600_芝,1,0,0.0
サハラヴァンクール,1700_ダート,4,0,0.0
サハラヴァンクール,2100_ダート,2,0,0.0
サバイバルナイン,1200_芝,1,0,0.0
サパテアール,1700_ダート,3,0,0.0
サパテアール,1800_ダート,7,0,0.0
サファイア,1600_芝,1,0,0.0
サフィラ,1600_芝,4,1,0.25
サフィラ,1800_芝,1,0,0.0
サフィラ,2000_芝,1,0,0.0
サフィラ,2200_芝,1,0,0.0
サフィラ,2400_芝,1,0,0.0
サフランヒーロー,1150_ダート,1,0,0.0
サフランヒーロー,1200_ダート,1,1,1.0
サフランヒーロー,1400_ダート,4,1,0.25
サフランブライト,1800_ダート,1,0,0.0
サフランブライト,2100_ダート,1,0,0.0
サブアトミック,1200_ダート,3,0,0.0
サブマリーナ,1800_芝,2,1,0.5
サブマリーナ,2000_芝,3,1,0.3333333333333333
サブマリーナ,2200_芝,3,1,0.3333333333333333
サブマリーナ,2400_芝,1,0,0.0
サブライムアンセム,1200_芝,2,0,0.0
サブライムアンセム,1400_ダート,1,0,0.0
サブライムアンセム,1400_芝,1,0,0.0
サブライムアンセム,1600_芝,1,0,0.0
サブライムアンセム,1700_ダート,1,0,0.0
サベージラヴ,1000_ダート,3,1,0.3333333333333333
サペラヴィ,2400_芝,1,0,0.0
サマーアゲイン,1400_ダート,1,0,0.0
サマーアゲイン,1600_芝,2,0,0.0
サマースイートピー,1200_ダート,1,1,1.0
サマースイートピー,1200_芝,1,0,0.0
サマースイートピー,1400_ダート,1,0,0.0
サミアド,1200_ダート,1,0,0.0
サミアド,1300_ダート,1,0,0.0
サミアド,1400_ダート,1,0,0.0
サムシャイン,1700_ダート,1,0,0.0
サムデイ,1400_ダート,1,0,0.0
サムハンター,1600_芝,4,1,0.25
サムハンター,1700_ダート,6,1,0.16666666666666666
サムハンター,1800_ダート,2,0,0.0
サムハンター,1800_芝,1,0,0.0
サムハンター,2000_芝,2,0,0.0
サムワンライクユー,1600_ダート,2,0,0.0
サヨノジャンボリー,1150_ダート,1,0,0.0
サヨノジャンボリー,1200_ダート,1,0,0.0
サヨノフィールド,1400_ダート,1,0,0.0
サヨノフィールド,1700_ダート,1,0,0.0
サヨノフィールド,1800_ダート,2,0,0.0
サラコスティ,2000_芝,4,0,0.0
サラサハウプリティ,1400_ダート,2,0,0.0
サラサハウプリティ,1700_ダート,2,0,0.0
サラサハウプリティ,1800_芝,1,0,0.0
サラサラヘアー,1800_ダート,1,0,0.0
サラダ,2000_芝,1,0,0.0
サラダ,2400_芝,1,0,0.0
サラトガチップス,2000_芝,1,0,0.0
サラトガチップス,2600_芝,1,0,0.0
サラフィエル,1700_ダート,1,0,0.0
サラフィエル,1800_ダート,1,0,0.0
サリエラ,2200_芝,3,0,0.0
サリエラ,3200_芝,1,0,0.0
サリエラ,3400_芝,1,1,1.0
サリュエ,1400_ダート,1,0,0.0
サリュエ,1400_芝,1,1,1.0
サリーチェ,2000_芝,1,0,0.0
サリーチャン,1000_ダート,1,0,0.0
サリーピルエット,1200_ダート,1,0,0.0
サリーピルエット,1300_ダート,1,0,0.0
サルサディーバ,1800_ダート,3,0,0.0
サルサロッサ,1800_芝,1,0,0.0
サルトルーヴィル,1800_ダート,1,0,0.0
サルトルーヴィル,1800_芝,2,0,0.0
サルモン,1150_ダート,1,0,0.0
サルモン,1200_ダート,3,0,0.0
サルヴァトーレ,1400_ダート,5,1,0.2
サルヴァトーレ,1600_ダート,9,1,0.1111111111111111
サルヴィアーノ,1800_芝,1,0,0.0
サルヴィアーノ,2000_芝,3,0,0.0
サルヴェージワーク,2200_芝,1,0,0.0
サルヴェージワーク,2400_芝,1,0,0.0
サレジオ,1800_芝,1,0,0.0
サロニコス,1400_芝,3,0,0.0
サロニコス,1600_芝,2,0,0.0
サロニコス,1800_芝,1,0,0.0
サロニコス,2000_芝,1,0,0.0
サロンドブラック,2100_ダート,1,0,0.0
サンアントワーヌ,1600_芝,1,0,0.0
サンウイキョウ,1400_ダート,1,0,0.0
サンウリエル,1600_芝,2,0,0.0
サンウリエル,1800_芝,1,0,0.0
サンウリエル,2000_芝,1,0,0.0
サンカシグレ,2400_芝,2,0,0.0
サンカルパ,1400_芝,2,0,0.0
サンカルパ,1600_芝,1,0,0.0
サンカルパ,1800_ダート,2,0,0.0
サンカルパ,1800_芝,1,0,0.0
サンカルミア,1800_ダート,4,1,0.25
サンカルミア,2100_ダート,2,0,0.0
サンガネーブ,1200_ダート,8,1,0.125
サンキャメロン,1600_ダート,1,0,0.0
サンキャメロン,1700_ダート,1,0,0.0
サンキャメロン,1800_ダート,1,0,0.0
サンクフィーユ,1600_芝,1,0,0.0
サンクフィーユ,1800_芝,2,0,0.0
サングラデーション,2000_芝,6,0,0.0
サングラデーション,2400_ダート,1,0,0.0
サングラデーション,2600_芝,1,0,0.0
サンコンクエスト,1700_ダート,1,0,0.0
サンコンクエスト,1800_ダート,1,0,0.0
サンコンクエスト,2000_芝,1,0,0.0
サンストックトン,1800_芝,2,0,0.0
サンストックトン,2000_芝,3,0,0.0
サンストックトン,2100_ダート,1,0,0.0
サンストックトン,2200_芝,1,0,0.0
サンズオブタイム,2000_芝,5,0,0.0
サンセットクラウド,1900_ダート,1,0,0.0
サンセットクラウド,2000_芝,2,0,0.0
サンセットクラウド,2200_芝,1,0,0.0
サンセットクラウド,2400_芝,1,0,0.0
サンセットゴールド,1800_芝,1,0,0.0
サンセットビュー,1600_芝,1,0,0.0
サンセットビュー,2000_芝,4,0,0.0
サンセットビュー,2200_芝,3,0,0.0
サンセットビュー,2400_芝,3,0,0.0
サンセットビーチ,2200_芝,1,0,0.0
サンセットブライト,1700_ダート,1,0,0.0
サンセットブライト,1800_ダート,2,0,0.0
サンタアナテソーロ,1200_芝,1,0,0.0
サンタアニタ,1200_ダート,1,0,0.0
サンタグラシア,2000_芝,1,0,0.0
サンタンカ,1600_芝,1,0,0.0
サンダーアラート,1800_ダート,1,0,0.0
サンダーアリュール,1150_ダート,1,0,0.0
サンダーアリュール,1200_ダート,1,0,0.0
サンダーアリュール,1400_ダート,1,0,0.0
サンダーストラック,2000_芝,1,0,0.0
サンダーバース,1700_ダート,1,0,0.0
サンダーユニバンス,1200_ダート,1,0,0.0
サンダーユニバンス,1800_ダート,1,0,0.0
サンダーロード,1700_ダート,2,0,0.0
サンダーヴィント,1800_ダート,1,0,0.0
サンティーテソーロ,1000_芝,1,0,0.0
サンティーテソーロ,1200_芝,1,0,0.0
サンテックス,1600_ダート,2,1,0.5
サンテックス,1700_ダート,2,0,0.0
サンテックス,1800_ダート,1,1,1.0
サンテックス,1900_ダート,1,0,0.0
サンディブロンド,1000_ダート,2,0,0.0
サンディブロンド,1000_芝,1,0,0.0
サンディブロンド,1200_ダート,2,0,0.0
サンデージャック,2600_芝,1,0,0.0
サンデーパーティー,1600_ダート,1,0,0.0
サンデーヒーロー,1800_ダート,4,0,0.0
サンデーファンデー,1600_ダート,1,0,0.0
サンデーファンデー,1700_ダート,1,0,0.0
サンデーファンデー,1800_ダート,12,7,0.5833333333333334
サンデーファンデー,1900_ダート,2,0,0.0
サントルドパリ,2000_芝,1,0,0.0
サンドオブエテル,1600_ダート,1,1,1.0
サンドオブエテル,1600_芝,1,0,0.0
サンドブラスト,1700_ダート,5,1,0.2
サンドブラスト,1800_ダート,1,0,0.0
サンドロナイト,1200_芝,1,0,0.0
サンナイアガラ,1200_芝,1,0,0.0
サンナイアガラ,1400_芝,1,0,0.0
サンノーブル,2400_ダート,1,0,0.0
サンピノン,1700_ダート,1,0,0.0
サンピノン,1800_ダート,1,0,0.0
サンフィニティ,1200_ダート,1,0,0.0
サンマルソムニア,1400_ダート,1,0,0.0
サンマルソムニア,1800_ダート,1,0,0.0
サンマルノヴェル,1400_ダート,2,0,0.0
サンマルパトロール,1700_ダート,1,0,0.0
サンマルパトロール,1800_ダート,6,2,0.3333333333333333
サンマルパトロール,1900_ダート,2,1,0.5
サンマルパトロール,2000_ダート,1,0,0.0
サンマルパトロール,2100_ダート,1,0,0.0
サンマルブーケ,1200_ダート,2,0,0.0
サンマルミッション,1800_ダート,1,0,0.0
サンマルリアン,1000_ダート,1,0,0.0
サンマルレジェンド,1600_ダート,1,0,0.0
サンマルレジェンド,1700_ダート,2,0,0.0
サンマルレジェンド,1800_ダート,4,0,0.0
サンマルレジェンド,1900_ダート,1,0,0.0
サンライズアムール,1200_ダート,6,2,0.3333333333333333
サンライズアムール,1400_ダート,2,1,0.5
サンライズアリオン,1700_ダート,6,1,0.16666666666666666
サンライズアリオン,1800_ダート,2,1,0.5
サンライズアリオン,1900_ダート,1,0,0.0
サンライズアレス,1400_ダート,1,0,0.0
サンライズアレス,1800_芝,1,0,0.0
サンライズアース,2000_芝,1,0,0.0
サンライズアース,2200_芝,2,1,0.5
サンライズアース,2400_芝,3,0,0.0
サンライズアース,3000_芝,1,1,1.0
サンライズアース,3200_芝,1,0,0.0
サンライズウェーヴ,1800_ダート,1,0,0.0
サンライズウェーヴ,2100_ダート,1,0,0.0
サンライズウルス,1800_ダート,2,0,0.0
サンライズエース,1800_芝,4,0,0.0
サンライズエース,2000_芝,1,0,0.0
サンライズオネスト,1200_芝,7,0,0.0
サンライズオネスト,1400_芝,1,0,0.0
サンライズガッツ,2200_芝,1,1,1.0
サンライズガッツ,2400_芝,1,0,0.0
サンライズグラシア,2000_芝,4,0,0.0
サンライズグラシア,2200_芝,1,0,0.0
サンライズグラシア,2400_芝,1,0,0.0
サンライズグリット,2000_ダート,1,0,0.0
サンライズグルーヴ,1700_ダート,5,1,0.2
サンライズグルーヴ,1800_ダート,6,0,0.0
サンライズグルーヴ,1900_ダート,2,0,0.0
サンライズゴラッソ,1600_ダート,1,0,0.0
サンライズゴラッソ,1800_ダート,2,0,0.0
サンライズゴラッソ,1900_ダート,1,0,0.0
サンライズゴラッソ,2100_ダート,1,0,0.0
サンライズシェリー,1900_ダート,1,0,0.0
サンライズシェリー,2100_ダート,1,0,0.0
サンライズシュガー,1900_ダート,1,0,0.0
サンライズシュガー,2000_ダート,1,0,0.0
サンライズジパング,1600_ダート,1,0,0.0
サンライズジパング,1800_ダート,3,2,0.6666666666666666
サンライズジパング,2000_芝,2,1,0.5
サンライズジパング,2400_芝,1,0,0.0
サンライズジャスト,1800_ダート,1,0,0.0
サンライズジャスト,1900_ダート,1,0,0.0
サンライズジュピタ,1200_ダート,2,0,0.0
サンライズジュピタ,1400_ダート,2,0,0.0
サンライズジョワ,1700_ダート,1,0,0.0
サンライズジーク,1400_ダート,4,0,0.0
サンライズジーク,1600_ダート,2,0,0.0
サンライズジーク,1700_ダート,2,0,0.0
サンライズスコール,1700_ダート,1,0,0.0
サンライズソレイユ,1800_ダート,1,0,0.0
サンライズソレイユ,1900_ダート,1,0,0.0
サンライズソレイユ,2100_ダート,1,0,0.0
サンライズソレイユ,2400_芝,4,1,0.25
サンライズソレイユ,2500_芝,2,1,0.5
サンライズソレイユ,2600_芝,1,0,0.0
サンライズソレイユ,3000_芝,2,0,0.0
サンライズソレイユ,3600_芝,1,0,0.0
サンライズタイソン,1150_ダート,1,0,0.0
サンライズタイソン,1200_芝,1,0,0.0
サンライズタイソン,1800_芝,2,0,0.0
サンライズバブル,2400_芝,1,0,0.0
サンライズバレット,1700_ダート,1,0,0.0
サンライズパスカル,1400_ダート,3,0,0.0
サンライズパスカル,1800_ダート,6,1,0.16666666666666666
サンライズフォルス,1400_芝,1,0,0.0
サンライズフォルス,1700_ダート,1,0,0.0
サンライズフレイム,1400_ダート,7,2,0.2857142857142857
サンライズフレイム,1600_ダート,1,0,0.0
サンライズブレイク,1400_ダート,2,0,0.0
サンライズプルート,1200_ダート,1,0,0.0
サンライズプルート,1400_ダート,1,0,0.0
サンライズプルート,1400_芝,3,0,0.0
サンライズプルート,1600_芝,4,0,0.0
サンライズホーク,1600_ダート,2,0,0.0
サンライズロジャー,2600_芝,1,0,0.0
サンライズロナウド,1200_芝,1,0,0.0
サンライズロナウド,1400_芝,2,1,0.5
サンライズロナウド,1600_芝,5,0,0.0
サンランシング,1200_ダート,2,0,0.0
サンリコリス,1200_ダート,1,0,0.0
サンレイマリー,1200_ダート,1,1,1.0
サンロレンツォ,1200_ダート,1,0,0.0
サンロレンツォ,1700_ダート,1,0,0.0
サンロレンツォ,1800_ダート,1,0,0.0
サヴァ,1400_ダート,1,0,0.0
サヴァ,1600_ダート,1,0,0.0
サヴァ,1600_芝,2,0,0.0
サヴァ,1700_ダート,2,1,0.5
サヴァ,1800_ダート,1,0,0.0
サヴァイヴ,1200_芝,1,0,0.0
サヴァイヴ,1400_芝,1,0,0.0
サヴァビアン,1400_ダート,1,0,0.0
サヴァビアン,1700_ダート,10,0,0.0
サヴァビアン,1800_ダート,2,0,0.0
サヴォンリンナ,2000_芝,2,1,0.5
サヴォンリンナ,2400_芝,1,0,0.0
サヴォーナ,2000_芝,1,0,0.0
サヴォーナ,2200_芝,1,0,0.0
サヴォーナ,2400_芝,1,0,0.0
サヴォーナ,2500_芝,1,0,0.0
サヴォーナ,3000_芝,1,0,0.0
サヴォーナ,3200_芝,1,0,0.0
サークルオブジョイ,2000_芝,1,0,0.0
サークルオブジョイ,2400_芝,1,0,0.0
サークルオブジョイ,2600_芝,2,1,0.5
サーストンシカゴ,1800_芝,1,0,0.0
サーストンシカゴ,2000_芝,1,0,0.0
サーティファイド,1700_ダート,1,0,0.0
サーティファイド,1800_ダート,4,0,0.0
サーティファイド,1900_ダート,1,0,0.0
サーティファイド,2100_ダート,1,0,0.0
サーティファイド,2400_ダート,1,0,0.0
サーディンラン,2000_芝,1,0,0.0
サードウインド,1150_ダート,1,0,0.0
サーナーティオン,1400_芝,1,0,0.0
サーマルウインド,1200_ダート,1,0,0.0
サーマルウインド,1200_芝,1,0,0.0
サーマルウインド,1400_芝,1,0,0.0
サーマルソアリング,1700_ダート,2,0,0.0
サーマルソアリング,1800_ダート,4,0,0.0
サーマルソアリング,1900_ダート,2,0,0.0
ザアトム,1150_ダート,1,1,1.0
ザアトム,1200_芝,1,0,0.0
ザイツィンガー,1400_ダート,1,0,0.0
ザイツィンガー,1700_ダート,2,0,0.0
ザイツィンガー,1800_ダート,5,0,0.0
ザイツィンガー,1900_ダート,2,0,0.0
ザウリ,1150_ダート,1,0,0.0
ザウリ,1200_ダート,5,0,0.0
ザカリナン,1600_芝,1,0,0.0
ザクシス,1400_ダート,1,0,0.0
ザハーフェル,1600_芝,1,0,0.0
ザハーフェル,1700_ダート,1,0,0.0
ザパリスマッチ,1400_芝,1,0,0.0
ザパリスマッチ,1600_芝,1,0,0.0
ザパリスマッチ,1800_芝,2,0,0.0
ザパリスマッチ,2200_芝,1,0,0.0
ザブライド,1700_ダート,1,0,0.0
ザブライド,2000_芝,1,0,0.0
ザブルース,1000_芝,1,0,0.0
ザブルース,1200_芝,1,0,0.0
ザボドフスキー,1200_芝,1,0,0.0
ザラタン,1400_芝,1,0,0.0
ザラタン,1600_芝,4,0,0.0
ザロック,1600_ダート,1,0,0.0
ザロック,1700_ダート,2,0,0.0
ザロック,1900_ダート,1,0,0.0
ザロック,2400_ダート,1,0,0.0
ザローズハーツ,1400_芝,1,0,0.0
ザングウィル,1200_ダート,1,0,0.0
ザングウィル,1200_芝,1,0,0.0
ザングウィル,1400_ダート,1,0,0.0
ザーフィル,2000_芝,1,1,1.0
シアター,1200_芝,6,1,0.16666666666666666
シアージスト,1150_ダート,1,1,1.0
シアージスト,1200_ダート,4,2,0.5
シアージスト,1400_ダート,2,0,0.0
シアープレジャー,1200_ダート,2,0,0.0
シアープレジャー,1400_ダート,1,0,0.0
シウン,1200_ダート,2,0,0.0
シウン,2400_ダート,1,0,0.0
シェアホルダーズ,1700_ダート,1,0,0.0
シェアホルダーズ,1800_芝,1,0,0.0
シェイクユアハート,2000_芝,11,1,0.09090909090909091
シェイクユアハート,2200_芝,3,2,0.6666666666666666
シェイクユアハート,2400_芝,2,0,0.0
シェットランド,1600_ダート,1,0,0.0
シェットランド,1700_ダート,1,1,1.0
シェットランド,1800_ダート,5,1,0.2
シェルビーズアイ,1600_芝,1,0,0.0
シェルビーズアイ,1800_芝,1,0,0.0
シェーンシュティア,2000_芝,2,0,0.0
シエロエスティーボ,1800_芝,3,0,0.0
シカゴスティング,1200_芝,8,2,0.25
シカゴスティング,1400_芝,1,0,0.0
シカゴスティング,1600_芝,1,0,0.0
シグナルファイアー,1700_ダート,2,0,0.0
シグナルファイアー,1800_ダート,3,0,0.0
シグナルファイアー,2100_ダート,1,0,0.0
シグムンド,1800_ダート,3,1,0.3333333333333333
シグムンド,2100_ダート,6,0,0.0
シグルドリーヴァ,1200_ダート,1,0,0.0
シグルドリーヴァ,1600_芝,1,0,0.0
シゲルオトヒメ,1800_ダート,1,0,0.0
シゲルカチョウ,1200_芝,3,0,0.0
シゲルカミカゼ,1800_ダート,5,1,0.2
シゲルカミカゼ,2100_ダート,5,0,0.0
シゲルカミカゼ,2400_ダート,2,0,0.0
シゲルショウグン,1600_ダート,1,0,0.0
シゲルショウグン,1700_ダート,3,2,0.6666666666666666
シゲルショウグン,1800_ダート,3,1,0.3333333333333333
シゲルショウグン,1900_ダート,2,1,0.5
シゲルショウグン,2000_ダート,1,0,0.0
シゲルソロソロ,1400_ダート,8,2,0.25
シゲルバクハツ,1800_ダート,4,0,0.0
シゲルバクハツ,1900_ダート,2,0,0.0
シゲルホサヤク,1150_ダート,1,0,0.0
シゲルホサヤク,1200_ダート,3,0,0.0
シゲルホサヤク,1400_ダート,1,0,0.0
シゲルミライ,1000_ダート,1,0,0.0
シゲルミライ,1200_ダート,3,0,0.0
システムリブート,1400_芝,4,0,0.0
シセイダイキ,2200_芝,1,0,0.0
シセイヒテン,1200_芝,1,0,0.0
シタン,1500_芝,1,0,0.0
シダー,1700_ダート,1,1,1.0
シダー,1800_ダート,1,0,0.0
シダー,1900_ダート,2,0,0.0
シックザイン,1000_芝,1,0,0.0
シックザイン,1150_ダート,2,0,0.0
シックザイン,1200_ダート,2,0,0.0
シックザイン,1200_芝,3,0,0.0
シックザイン,1700_ダート,1,0,0.0
シックザイン,1800_ダート,1,0,0.0
シックスペンス,1600_芝,1,0,0.0
シックスペンス,1800_芝,3,3,1.0
シックスペンス,2000_芝,1,0,0.0
シックスペンス,2400_芝,1,0,0.0
シテフローラル,2000_芝,2,0,0.0
シテフローラル,2400_芝,1,0,0.0
シテフローラル,2600_芝,2,0,0.0
シトラール,1400_芝,1,0,0.0
シトラール,1600_芝,2,0,0.0
シドニーホバート,1800_ダート,2,0,0.0
シナモンスティック,1200_芝,6,1,0.16666666666666666
シフルマン,1800_芝,1,0,0.0
シブースト,1800_ダート,1,0,0.0
シベリアンポラリス,1400_ダート,1,0,0.0
シホノスペランツァ,1800_芝,2,0,0.0
シホノスペランツァ,2000_芝,3,0,0.0
シホノスペランツァ,2400_芝,1,0,0.0
シホノスペランツァ,2600_芝,1,0,0.0
シホノペルフェット,1400_ダート,1,0,0.0
シホノペルフェット,1800_ダート,1,0,0.0
シホリーン,1600_芝,2,0,0.0
シホリーン,1800_芝,1,0,0.0
シマサンブラック,1800_芝,1,0,0.0
シマサンブラック,2000_芝,2,0,0.0
シモズル,1400_ダート,1,0,0.0
シモズル,1400_芝,1,0,0.0
シャイニングソード,2200_芝,1,0,0.0
シャイニングソード,2400_芝,3,2,0.6666666666666666
シャイニングフジ,1600_芝,4,0,0.0
シャイニングフジ,1800_芝,1,0,0.0
シャイニングフジ,2000_芝,1,0,0.0
シャイニーシップ,1600_ダート,1,0,0.0
シャイニーシップ,1800_ダート,1,0,0.0
シャイニースイフト,1200_芝,1,0,0.0
シャイニースイフト,1500_芝,2,0,0.0
シャイニースイフト,1800_芝,2,1,0.5
シャイニーズラン,1000_ダート,1,0,0.0
シャイニーズラン,1200_ダート,1,0,0.0
シャイニーズラン,1200_芝,1,0,0.0
シャイニーズラン,1400_ダート,2,0,0.0
シャイニーロック,1600_芝,3,0,0.0
シャインズオンユー,1200_ダート,1,0,0.0
シャインズオンユー,1200_芝,1,0,0.0
シャインズオンユー,1600_芝,1,0,0.0
シャインバオバブ,2000_芝,1,0,0.0
シャインバオバブ,2600_芝,2,0,0.0
シャインフェアリー,1200_ダート,1,0,0.0
シャインフェアリー,1800_ダート,1,0,0.0
シャインフォール,1400_ダート,1,0,0.0
シャインベック,1400_芝,1,0,0.0
シャインユニバンス,2200_芝,1,0,0.0
シャインユニバンス,2500_芝,1,0,0.0
シャインユニバンス,2600_芝,2,0,0.0
シャインヴィーナス,1400_ダート,1,0,0.0
シャウビンダー,1200_芝,2,0,0.0
シャオママル,1400_芝,1,0,0.0
シャカシャカシー,1000_ダート,2,2,1.0
シャカシャカシー,1150_ダート,2,0,0.0
シャザーン,2000_芝,1,0,0.0
シャスティフォル,2600_芝,1,0,0.0
シャトーボビー,1000_芝,1,0,0.0
シャトーボビー,1200_芝,1,0,0.0
シャドウアイル,1800_ダート,1,0,0.0
シャドウキャッスル,1200_芝,1,0,0.0
シャドウキャッスル,1400_ダート,2,0,0.0
シャドウキャッスル,1600_芝,1,0,0.0
シャドウキャッスル,1800_ダート,2,0,0.0
シャドウソニック,1800_芝,3,0,0.0
シャドウソニック,2000_芝,5,1,0.2
シャドウソニック,2200_芝,1,0,0.0
シャドウフューリー,1400_芝,8,3,0.375
シャドウフューリー,1600_芝,4,1,0.25
シャドウメテオ,1800_芝,1,1,1.0
シャドウメテオ,2000_芝,1,0,0.0
シャドウルパン,1800_ダート,2,0,0.0
シャドウレディー,1700_ダート,3,0,0.0
シャハザマーン,1800_ダート,3,2,0.6666666666666666
シャハザマーン,2000_芝,1,0,0.0
シャパリュ,1400_ダート,1,1,1.0
シャパリュ,1600_ダート,1,0,0.0
シャパリュ,1800_ダート,3,0,0.0
シャパリュ,2100_ダート,1,0,0.0
シャフリヤール,2000_芝,1,0,0.0
シャフリヤール,2500_芝,1,1,1.0
シャマル,1400_ダート,1,0,0.0
シャルクハフト,1800_ダート,2,0,0.0
シャルクハフト,1900_ダート,1,0,0.0
シャルクハフト,2200_芝,1,0,0.0
シャルパンティエ,1600_芝,1,0,0.0
シャンクス,1600_芝,1,0,0.0
シャンソンドール,2000_芝,1,0,0.0
シャンダス,1800_ダート,1,0,0.0
シャンデルナゴル,1600_ダート,1,0,0.0
シャンデルナゴル,1800_ダート,1,0,0.0
シャンデルナゴル,1900_ダート,1,0,0.0
シャンデルナゴル,2000_芝,1,0,0.0
シャンデルナゴル,2200_芝,1,0,0.0
シャンハイナイト,1800_ダート,1,0,0.0
シャンバラ,1900_ダート,5,0,0.0
シャンパンカラー,1200_芝,1,0,0.0
シャンパンカラー,1400_芝,1,0,0.0
シャンパンカラー,1600_ダート,1,0,0.0
シャンパンカラー,1600_芝,5,0,0.0
シャンパンポップ,1800_ダート,1,0,0.0
シャンパンポップ,2000_ダート,1,1,1.0
シャンパンポップ,2100_ダート,2,1,0.5
シャンパンマーク,1600_芝,2,1,0.5
シャンパンマーク,2000_芝,2,0,0.0
シャンパンマーク,2200_芝,1,0,0.0
シャンブル,1200_ダート,1,0,0.0
シャンブル,1400_ダート,2,0,0.0
シャークスポット,1200_芝,1,0,0.0
シャークスポット,1400_芝,1,0,0.0
シャープソーン,1400_ダート,2,0,0.0
シャーリーゴールド,1600_芝,2,0,0.0
シャーンゴッセ,1150_ダート,2,1,0.5
シャーンゴッセ,1200_ダート,1,0,0.0
シャーンゴッセ,1400_ダート,1,0,0.0
シュアーヴアリア,1200_芝,2,0,0.0
シュアーヴアリア,1400_芝,1,0,0.0
シュエットアムール,1200_芝,1,0,0.0
シュエットアムール,1800_芝,1,0,0.0
シュエットアムール,2000_芝,2,0,0.0
シュガークン,2200_芝,1,1,1.0
シュガークン,2400_芝,2,1,0.5
シュガーコルト,1700_ダート,2,0,0.0
