horse,dist_course,dc_n,dc_wins,dc_wr
アクアマリンブルー,1200_ダート,1,0,0.0
アクアマリーナ,1200_ダート,1,0,0.0
アクアヴァーナル,2000_芝,1,0,0.0
アクアヴァーナル,2200_芝,2,0,0.0
アクアヴァーナル,2400_芝,3,1,0.3333333333333333
アクアヴァーナル,3000_芝,1,1,1.0
アクションプラン,1600_ダート,2,1,0.5
アクションプラン,1700_ダート,2,0,0.0
アクションプラン,1800_ダート,4,2,0.5
アクティングエリア,1200_芝,1,0,0.0
アクルクス,1400_ダート,1,0,0.0
アクルクス,1400_芝,1,0,0.0
アクルクス,1600_芝,1,0,0.0
アクートゥス,1400_ダート,1,0,0.0
アクートゥス,1400_芝,6,1,0.16666666666666666
アクートゥス,1600_芝,2,1,0.5
アクートゥス,1800_芝,1,0,0.0
アグラシアド,1800_ダート,3,0,0.0
アグラシアド,1800_芝,3,1,0.3333333333333333
アグラシアド,2000_芝,5,0,0.0
アグラシアド,2200_芝,1,0,0.0
アグラード,1200_ダート,3,0,0.0
アグリ,1200_芝,3,0,0.0
アグリ,1400_芝,2,0,0.0
アケルナルスター,1800_芝,2,0,0.0
アケルナルスター,2000_芝,1,0,0.0
アコルダール,1200_芝,4,1,0.25
アコークロー,1800_ダート,2,0,0.0
アコークロー,1900_ダート,1,0,0.0
アコークロー,2100_ダート,2,1,0.5
アコークロー,2400_ダート,2,1,0.5
アサカラキング,1200_芝,3,1,0.3333333333333333
アサカラキング,1400_芝,7,2,0.2857142857142857
アサカラキング,1600_ダート,1,0,0.0
アサカラキング,1600_芝,1,0,0.0
アサギリ,1000_芝,2,1,0.5
アサギリ,1200_芝,3,0,0.0
アサギリ,1400_芝,4,0,0.0
アサギリ,1600_芝,1,0,0.0
アサクサグレース,1200_ダート,2,0,0.0
アサクサヴィーナス,1400_芝,1,0,0.0
アサクサヴィーナス,1600_芝,1,1,1.0
アサヒ,1400_ダート,1,0,0.0
アサヒ,1400_芝,5,0,0.0
アサヒ,1600_ダート,1,0,0.0
アサヒ,1600_芝,5,0,0.0
アサマノイタズラ,1600_芝,1,0,0.0
アサマノイタズラ,1800_芝,2,0,0.0
アシセバイラ,1000_芝,2,0,0.0
アシタバ,1200_ダート,1,0,0.0
アシャカタカ,1150_ダート,2,0,0.0
アシャカタカ,1200_ダート,1,0,0.0
アシャカタカ,1200_芝,8,2,0.25
アシャカデュメ,1200_ダート,2,0,0.0
アシャカデュメ,1800_ダート,1,0,0.0
アシャカトベ,1200_ダート,1,1,1.0
アシャカブラン,1200_ダート,1,0,0.0
アシャカブラン,1400_ダート,3,0,0.0
アシャカブラン,1800_ダート,1,0,0.0
アジアノジュンシン,1000_芝,2,0,0.0
アジアノジュンシン,1200_ダート,1,0,0.0
アジアノジュンシン,1200_芝,1,0,0.0
アジアミッション,1400_ダート,2,0,0.0
アジアミッション,1600_芝,1,0,0.0
アジアミッション,1800_ダート,1,0,0.0
アジュマン,1200_芝,3,0,0.0
アスカノミライ,2200_芝,1,0,0.0
アスカノミライ,2400_芝,3,0,0.0
アスカノミライ,2600_芝,4,0,0.0
アスキーアート,1000_芝,2,0,0.0
アスクアイルビゼア,1000_ダート,2,0,0.0
アスクアイルビゼア,1150_ダート,2,0,0.0
アスクアイルビゼア,1400_ダート,1,0,0.0
アスクアメージモア,1200_ダート,1,0,0.0
アスクアメージモア,1600_芝,1,0,0.0
アスクエジンバラ,1600_芝,1,0,0.0
アスクエジンバラ,1800_芝,1,1,1.0
アスクエジンバラ,2000_芝,1,0,0.0
アスクエピソード,1200_芝,2,0,0.0
アスクエピソード,1400_芝,2,0,0.0
アスクエピソード,1500_芝,2,0,0.0
アスクオンディープ,2000_芝,6,1,0.16666666666666666
アスクカムオンモア,2000_芝,7,2,0.2857142857142857
アスクカムオンモア,2200_芝,1,0,0.0
アスクカムオンモア,3000_芝,1,0,0.0
アスクガンバーレ,2600_芝,1,0,0.0
アスクキングコング,1200_ダート,1,0,0.0
アスクキングコング,1200_芝,4,0,0.0
アスクキングコング,1400_芝,1,0,0.0
アスクケンタッキー,1400_ダート,1,0,0.0
アスクコンナモンダ,1600_芝,8,1,0.125
アスクシュタイン,1800_ダート,1,1,1.0
アスクシュタイン,1800_芝,3,1,0.3333333333333333
アスクシュタイン,2000_芝,2,0,0.0
アスクセクシーモア,1600_芝,4,0,0.0
アスクセクシーモア,1800_芝,1,1,1.0
アスクデッドヒート,2600_芝,1,0,0.0
アスクデビューモア,1800_ダート,1,0,0.0
アスクデビューモア,1900_ダート,2,1,0.5
アスクデビューモア,2100_ダート,2,0,0.0
アスクドゥポルテ,1800_芝,1,0,0.0
アスクドゥポルテ,2000_芝,8,1,0.125
アスクドゥポルテ,2200_芝,1,0,0.0
アスクドゥポルテ,3000_芝,1,0,0.0
アスクドゥラメンテ,1400_ダート,2,0,0.0
アスクドゥラメンテ,1600_ダート,2,0,0.0
アスクドゥラメンテ,1700_ダート,1,0,0.0
アスクドゥラメンテ,1800_ダート,1,0,0.0
アスクドゥラメンテ,1900_ダート,1,0,0.0
アスクドリームモア,1200_芝,4,0,0.0
アスクドリームモア,1400_芝,3,0,0.0
アスクドンキバック,1150_ダート,1,0,0.0
アスクナイスショー,2000_芝,9,3,0.3333333333333333
アスクナイスショー,2200_芝,1,0,0.0
アスクナサニエル,1800_芝,1,0,0.0
アスクナサニエル,2600_芝,1,0,0.0
アスクハッピーモア,1800_ダート,1,0,0.0
アスクハッピーモア,2200_芝,1,0,0.0
アスクヒロイズガイ,1800_ダート,1,0,0.0
アスクヒロイズガイ,1900_ダート,1,0,0.0
アスクヒロイズガイ,2400_ダート,3,0,0.0
アスクビギンアゲン,1200_芝,3,0,0.0
アスクビギンアゲン,1400_芝,4,0,0.0
アスクビギンアゲン,1600_芝,1,0,0.0
アスクビックスター,1700_ダート,2,0,0.0
アスクビックスター,1800_ダート,10,0,0.0
アスクビックスター,2000_ダート,1,0,0.0
アスクビックスター,2000_芝,1,0,0.0
アスクムービーオン,1600_ダート,1,0,0.0
アスクメークシェア,1800_芝,1,0,0.0
アスクメークシェア,2000_芝,2,0,0.0
アスクワイルドモア,2000_芝,4,0,0.0
アスクワイルドモア,2100_ダート,1,0,0.0
アスクワンタイム,1200_芝,5,0,0.0
アスクワンタイム,1400_芝,3,0,0.0
アスクワンタイム,1600_芝,1,0,0.0
アスクヴォルテージ,1800_芝,1,0,0.0
アスクヴォルテージ,2000_芝,1,0,0.0
アスコットアイ,1200_ダート,1,0,0.0
アスコリピチェーノ,1600_芝,5,2,0.4
アスコルターレ,1200_芝,1,0,0.0
アスコルティアーモ,1600_芝,1,0,0.0
アスコルティアーモ,1800_芝,4,1,0.25
アスコルティアーモ,2000_芝,1,0,0.0
アスゴッド,1400_芝,1,0,0.0
アスゴッド,1700_ダート,1,0,0.0
アスターチェンチ,1200_ダート,1,0,0.0
アスターブジエ,2200_芝,1,0,0.0
アスターブジエ,2400_芝,3,0,0.0
アスターブジエ,2600_芝,4,2,0.5
アスターブジエ,3000_芝,2,0,0.0
アスタールテニウム,1400_ダート,1,0,0.0
アスタールフナ,1000_ダート,1,0,0.0
アスタールフナ,1200_ダート,5,1,0.2
アスタールフナ,1400_ダート,1,0,0.0
アスタールフナ,1400_芝,1,0,0.0
アスティ,2200_芝,1,0,0.0
アスティ,2500_芝,1,0,0.0
アスティ,3000_芝,3,0,0.0
アスティスプマンテ,1200_芝,5,1,0.2
アスティスプマンテ,1400_芝,1,0,0.0
アステロイドベルト,1400_芝,4,0,0.0
アステロイドメア,1700_ダート,1,0,0.0
アステロイドメア,1800_ダート,2,0,0.0
アストラカ,1400_ダート,2,0,0.0
アストラッド,1200_芝,1,0,0.0
アストラッド,1400_芝,2,0,0.0
アストロフィライト,1800_芝,4,0,0.0
アストロフィライト,2000_芝,1,0,0.0
アスプリージャ,1700_ダート,1,0,0.0
アスプリージャ,1800_ダート,2,0,0.0
アスプリージャ,2400_ダート,1,0,0.0
アスミル,1400_芝,1,0,0.0
アズマサクラエモン,1800_ダート,1,0,0.0
アズマサクラエモン,2400_ダート,1,0,0.0
アセレラシオン,1700_ダート,8,0,0.0
アセレラシオン,1800_ダート,1,0,0.0
アセンブリールーム,1800_芝,1,0,0.0
アタカンテ,1200_ダート,1,0,0.0
アタカンテ,1700_ダート,1,0,0.0
アタラシイカドデニ,1600_芝,2,0,0.0
アタラシイカドデニ,1800_ダート,1,0,0.0
アタラシイカドデニ,1800_芝,2,0,0.0
アタリダイキチ,1200_芝,1,0,0.0
アッカン,2000_芝,1,1,1.0
アッシュバーグ,1200_芝,1,0,0.0
アッシュバーグ,1400_芝,1,0,0.0
アッシュバーグ,1800_芝,2,0,0.0
アッシュバーグ,2000_芝,1,0,0.0
アッシュルバニパル,1600_ダート,3,2,0.6666666666666666
アッシュルバニパル,1800_ダート,1,0,0.0
アッシュルバニパル,2100_ダート,2,0,0.0
アッチャゴーラ,1400_ダート,4,1,0.25
アッチャゴーラ,1600_ダート,4,0,0.0
アッチャゴーラ,1700_ダート,1,0,0.0
アッチャゴーラ,1800_ダート,1,0,0.0
アッティラ,1600_ダート,1,0,0.0
アッティラ,1700_ダート,3,0,0.0
アッティラ,1800_ダート,5,0,0.0
アッティーヴォ,1150_ダート,1,0,0.0
アッティーヴォ,1200_ダート,3,0,0.0
アッティーヴォ,1400_ダート,1,0,0.0
アットアブラスト,2000_芝,1,0,0.0
アットアブラスト,2600_芝,2,0,0.0
アップストローク,1200_芝,15,0,0.0
アップストローク,1400_芝,2,0,0.0
アップデート,1800_芝,1,0,0.0
